"AvgAct","DownAct","Matching.Attribute","name","NodeType","selected","shared name","source_node","UpAct","ZeroAct"
"100.0","0.0","SOX2","SOX2","T","false","SOX2","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","NOTCH1","NOTCH1","S","false","NOTCH1","viralprotein","100.0","0.0"
"0.0","0.0","SNCA","SNCA","I","false","SNCA","viralmirna","0.0","100.0"
"0.0","0.0","PIK3CG","PIK3CG","I","false","PIK3CG","viralmirna","0.0","100.0"
"0.0","0.0","GRK5","GRK5","I","false","GRK5","viralmirna","0.0","100.0"
"0.0","0.0","SOS1","SOS1","I","false","SOS1","viralmirna","0.0","100.0"
"0.0","0.0","CD3E","CD3E","I","false","CD3E","viralmirna","0.0","100.0"
"0.0","0.0","FASLG","FASLG","I","false","FASLG","viralmirna","0.0","100.0"
"0.0","0.0","TNF","TNF","I","false","TNF","viralmirna","0.0","100.0"
"0.0","0.0","PIK3R3","PIK3R3","I","false","PIK3R3","viralmirna","0.0","100.0"
"0.0","0.0","BCAR1","BCAR1","I","false","BCAR1","viralmirna","0.0","100.0"
"0.0","0.0","SNRPB","SNRPB","I","false","SNRPB","viralmirna","0.0","100.0"
"0.0","0.0","CAMK2D","CAMK2D","I","false","CAMK2D","viralmirna","0.0","100.0"
"0.0","0.0","TYK2","TYK2","I","false","TYK2","viralmirna","0.0","100.0"
"0.0","0.0","MAP4K5","MAP4K5","I","false","MAP4K5","viralmirna","0.0","100.0"
"0.0","0.0","RIPK3","RIPK3","I","false","RIPK3","viralmirna","0.0","100.0"
"0.0","0.0","GAB1","GAB1","I","false","GAB1","viralmirna","0.0","100.0"
"0.0","0.0","PIK3CB","PIK3CB","I","false","PIK3CB","viralmirna","0.0","100.0"
"0.0","0.0","CRKL","CRKL","I","false","CRKL","viralmirna","0.0","100.0"
"0.0","0.0","CHEK2","CHEK2","I","false","CHEK2","viralmirna","0.0","100.0"
"0.0","0.0","CCL4L1","CCL4L1","I","false","CCL4L1","viralmirna","0.0","100.0"
"0.0","0.0","MTA1","MTA1","I","false","MTA1","viralmirna","0.0","100.0"
"0.0","0.0","IL24","IL24","I","false","IL24","viralmirna","0.0","100.0"
"0.0","0.0","KHDRBS2","KHDRBS2","I","false","KHDRBS2","viralmirna","0.0","100.0"
"0.0","0.0","NR4A3","NR4A3","I","false","NR4A3","viralmirna","0.0","100.0"
"0.0","0.0","ITGA3","ITGA3","I","false","ITGA3","viralmirna","0.0","100.0"
"0.0","0.0","MAP3K11","MAP3K11","I","false","MAP3K11","viralmirna","0.0","100.0"
"0.0","0.0","CXCL9","CXCL9","I","false","CXCL9","viralmirna","0.0","100.0"
"0.0","0.0","CD4","CD4","I","false","CD4","viralmirna","0.0","100.0"
"0.0","0.0","GADD45G","GADD45G","I","false","GADD45G","viralmirna","0.0","100.0"
"0.0","0.0","CAMK2A","CAMK2A","I","false","CAMK2A","viralmirna","0.0","100.0"
"0.0","0.0","MAP3K1","MAP3K1","I","false","MAP3K1","viralmirna","0.0","100.0"
"0.0","0.0","GZMA","GZMA","I","false","GZMA","viralmirna","0.0","100.0"
"0.0","0.0","CTTN","CTTN","I","false","CTTN","viralmirna","0.0","100.0"
"0.0","0.0","IL6","IL6","I","false","IL6","viralmirna","0.0","100.0"
"0.0","0.0","NRAS","NRAS","I","false","NRAS","viralmirna","0.0","100.0"
"0.0","0.0","SHC3","SHC3","I","false","SHC3","viralmirna","0.0","100.0"
"0.0","0.0","TBX21","TBX21","I","false","TBX21","viralmirna","0.0","100.0"
"0.0","0.0","PXN","PXN","I","false","PXN","viralmirna","0.0","100.0"
"0.0","0.0","MED28","MED28","I","false","MED28","viralmirna","0.0","100.0"
"0.0","0.0","CAMK2G","CAMK2G","I","false","CAMK2G","viralmirna","0.0","100.0"
"0.0","0.0","ALOX12B","ALOX12B","I","false","ALOX12B","viralmirna","0.0","100.0"
"0.0","0.0","VAV2","VAV2","I","false","VAV2","viralmirna","0.0","100.0"
"0.0","0.0","NUP133","NUP133","I","false","NUP133","viralmirna","0.0","100.0"
"0.0","0.0","PCNA","PCNA","I","false","PCNA","viralmirna","0.0","100.0"
"0.0","0.0","IL1R1","IL1R1","I","false","IL1R1","viralmirna","0.0","100.0"
"0.0","0.0","MPO","MPO","I","false","MPO","viralmirna","0.0","100.0"
"0.0","0.0","PIK3R5","PIK3R5","I","false","PIK3R5","viralmirna","0.0","100.0"
"0.0","0.0","CALM3","CALM3","I","false","CALM3","viralmirna","0.0","100.0"
"0.0","0.0","CAMK2B","CAMK2B","I","false","CAMK2B","viralmirna","0.0","100.0"
"0.0","0.0","MAPK7","MAPK7","I","false","MAPK7","viralmirna","0.0","100.0"
"0.0","0.0","HRAS","HRAS","I","false","HRAS","viralmirna","0.0","100.0"
"0.0","0.0","RAP1A","RAP1A","I","false","RAP1A","viralmirna","0.0","100.0"
"0.0","0.0","CXCL1","CXCL1","I","false","CXCL1","viralmirna","0.0","100.0"
"0.0","0.0","CCL3","CCL3","I","false","CCL3","viralmirna","0.0","100.0"
"0.0","0.0","KRAS","KRAS","I","false","KRAS","viralmirna","0.0","100.0"
"0.0","0.0","GZMB","GZMB","I","false","GZMB","viralmirna","0.0","100.0"
"0.0","0.0","CBL","CBL","I","false","CBL","viralmirna","0.0","100.0"
"0.0","0.0","BTK","BTK","I","false","BTK","viralmirna","0.0","100.0"
"0.0","0.0","CCL2","CCL2","I","false","CCL2","viralmirna","0.0","100.0"
"0.0","0.0","IL19","IL19","I","false","IL19","viralmirna","0.0","100.0"
"0.0","0.0","GADD45B","GADD45B","I","false","GADD45B","viralmirna","0.0","100.0"
"0.0","0.0","LCK","LCK","I","false","LCK","viralmirna","0.0","100.0"
"0.0","0.0","PIK3CD","PIK3CD","I","false","PIK3CD","viralmirna","0.0","100.0"
"0.0","0.0","PIK3CA","PIK3CA","I","false","PIK3CA","viralmirna","0.0","100.0"
"0.0","0.0","SHC2","SHC2","I","false","SHC2","viralmirna","0.0","100.0"
"0.0","0.0","ABI2","ABI2","I","false","ABI2","viralmirna","0.0","100.0"
"0.0","0.0","FGR","FGR","I","false","FGR","viralmirna","0.0","100.0"
"0.0","0.0","NFKBIA","NFKBIA","I","false","NFKBIA","viralmirna","0.0","100.0"
"0.0","0.0","CCR5","CCR5","I","false","CCR5","viralmirna","0.0","100.0"
"0.0","0.0","SHC1","SHC1","I","false","SHC1","viralmirna","0.0","100.0"
"0.0","0.0","PIK3R2","PIK3R2","I","false","PIK3R2","viralmirna","0.0","100.0"
"0.0","0.0","PTK2","PTK2","I","false","PTK2","viralmirna","0.0","100.0"
"0.0","0.0","TEC","TEC","I","false","TEC","viralmirna","0.0","100.0"
"0.0","0.0","GTF2I","GTF2I","I","false","GTF2I","viralmirna","0.0","100.0"
"0.0","0.0","RAF1","RAF1","I","false","RAF1","viralmirna","0.0","100.0"
"0.0","0.0","PIK3R1","PIK3R1","I","false","PIK3R1","viralmirna","0.0","100.0"
"0.0","0.0","PLCG1","PLCG1","I","false","PLCG1","viralmirna","0.0","100.0"
"0.0","0.0","GRB2","GRB2","I","false","GRB2","viralmirna","0.0","100.0"
"0.0","0.0","CCR2","CCR2","I","false","CCR2","viralmirna","0.0","100.0"
"0.0","0.0","ITGAL","ITGAL","I","false","ITGAL","viralmirna","0.0","100.0"
"0.0","0.0","GAB2","GAB2","I","false","GAB2","viralmirna","0.0","100.0"
"0.0","0.0","ARHGEF1","ARHGEF1","I","false","ARHGEF1","viralmirna","0.0","100.0"
"0.0","0.0","APOA1","APOA1","I","false","APOA1","viralmirna","0.0","100.0"
"0.0","0.0","FOXO3","FOXO3","I","false","FOXO3","viralmirna","0.0","100.0"
"0.0","0.0","FOXO6","FOXO6","I","false","FOXO6","viralmirna","0.0","100.0"
"0.0","0.0","FOXO1","FOXO1","I","false","FOXO1","viralmirna","0.0","100.0"
"0.0","0.0","ITGB2","ITGB2","I","false","ITGB2","viralmirna","0.0","100.0"
"0.0","0.0","JAK1","JAK1","I","false","JAK1","viralmirna","0.0","100.0"
"0.0","0.0","STAT4","STAT4","I","false","STAT4","viralmirna","0.0","100.0"
"0.0","0.0","DBP","DBP","I","false","DBP","viralmirna","0.0","100.0"
"0.0","0.0","STAM","STAM","I","false","STAM","viralmirna","0.0","100.0"
"0.0","0.0","STAT6","STAT6","I","false","STAT6","viralmirna","0.0","100.0"
"0.0","0.0","STAT5A","STAT5A","I","false","STAT5A","viralmirna","0.0","100.0"
"0.0","0.0","STAT5B","STAT5B","I","false","STAT5B","viralmirna","0.0","100.0"
"0.0","0.0","HIST1H3C","HIST1H3C","I","false","HIST1H3C","viralmirna","0.0","100.0"
"0.0","0.0","GHR","GHR","I","false","GHR","viralmirna","0.0","100.0"
"0.0","0.0","EPOR","EPOR","I","false","EPOR","viralmirna","0.0","100.0"
"0.0","0.0","POMC","POMC","I","false","POMC","viralmirna","0.0","100.0"
"0.0","0.0","LDHA","LDHA","I","false","LDHA","viralmirna","0.0","100.0"
"0.0","0.0","IGHA1","IGHA1","I","false","IGHA1","viralmirna","0.0","100.0"
"0.0","0.0","G6PC","G6PC","I","false","G6PC","viralmirna","0.0","100.0"
"0.0","0.0","POR","POR","I","false","POR","viralmirna","0.0","100.0"
"0.0","0.0","EOMES","EOMES","I","false","EOMES","viralmirna","0.0","100.0"
"0.0","0.0","ASAH1","ASAH1","I","false","ASAH1","viralmirna","0.0","100.0"
"0.0","0.0","HMOX1","HMOX1","I","false","HMOX1","viralmirna","0.0","100.0"
"0.0","0.0","CGA","CGA","I","false","CGA","viralmirna","0.0","100.0"
"0.0","0.0","BCL2","BCL2","I","false","BCL2","viralmirna","0.0","100.0"
"0.0","0.0","IL2","IL2","I","false","IL2","viralmirna","0.0","100.0"
"0.0","0.0","NOS3","NOS3","I","false","NOS3","viralmirna","0.0","100.0"
"0.0","0.0","CALM1","CALM1","I","false","CALM1","viralmirna","0.0","100.0"
"0.0","0.0","EPO","EPO","I","false","EPO","viralmirna","0.0","100.0"
"0.0","0.0","EDN1","EDN1","I","false","EDN1","viralmirna","0.0","100.0"
"0.0","0.0","CDKN1A","CDKN1A","I","false","CDKN1A","viralmirna","0.0","100.0"
"0.0","0.0","PCK1","PCK1","I","false","PCK1","viralmirna","0.0","100.0"
"0.0","0.0","MITF","MITF","I","false","MITF","viralmirna","0.0","100.0"
"0.0","0.0","UGT1A6","UGT1A6","I","false","UGT1A6","viralmirna","0.0","100.0"
"0.0","0.0","HMOX2","HMOX2","I","false","HMOX2","viralmirna","0.0","100.0"
"0.0","0.0","IL11","IL11","I","false","IL11","viralmirna","0.0","100.0"
"0.0","0.0","AKR7A2","AKR7A2","I","false","AKR7A2","viralmirna","0.0","100.0"
"0.0","0.0","GSTA2","GSTA2","I","false","GSTA2","viralmirna","0.0","100.0"
"0.0","0.0","DUSP1","DUSP1","I","false","DUSP1","viralmirna","0.0","100.0"
"0.0","0.0","CRYZ","CRYZ","I","false","CRYZ","viralmirna","0.0","100.0"
"0.0","0.0","VEGFA","VEGFA","I","false","VEGFA","viralmirna","0.0","100.0"
"0.0","0.0","CEBPD","CEBPD","I","false","CEBPD","viralmirna","0.0","100.0"
"0.0","0.0","GCLC","GCLC","I","false","GCLC","viralmirna","0.0","100.0"
"0.0","0.0","NTF3","NTF3","I","false","NTF3","viralmirna","0.0","100.0"
"0.0","0.0","IRS2","IRS2","I","false","IRS2","viralmirna","0.0","100.0"
"0.0","0.0","CCND1","CCND1","I","false","CCND1","viralmirna","0.0","100.0"
"0.0","0.0","PRMT5","PRMT5","I","false","PRMT5","viralmirna","0.0","100.0"
"0.0","0.0","EZH2","EZH2","I","false","EZH2","viralmirna","0.0","100.0"
"0.0","0.0","CTLA4","CTLA4","I","false","CTLA4","viralmirna","0.0","100.0"
"0.0","0.0","MAP3K5","MAP3K5","I","false","MAP3K5","viralmirna","0.0","100.0"
"0.0","0.0","GTF2B","GTF2B","I","false","GTF2B","viralmirna","0.0","100.0"
"0.0","0.0","GDNF","GDNF","I","false","GDNF","viralmirna","0.0","100.0"
"0.0","0.0","CTNNB1","CTNNB1","I","false","CTNNB1","viralmirna","0.0","100.0"
"0.0","0.0","SMAD3","SMAD3","I","false","SMAD3","viralmirna","0.0","100.0"
"0.0","0.0","FOXO4","FOXO4","I","false","FOXO4","viralmirna","0.0","100.0"
"0.0","0.0","CD2AP","CD2AP","I","false","CD2AP","viralmirna","0.0","100.0"
"0.0","0.0","LDHC","LDHC","I","false","LDHC","viralmirna","0.0","100.0"
"0.0","0.0","FST","FST","I","false","FST","viralmirna","0.0","100.0"
"0.0","0.0","POLK","POLK","I","false","POLK","viralmirna","0.0","100.0"
"0.0","0.0","CREBBP","CREBBP","I","false","CREBBP","viralmirna","0.0","100.0"
"0.0","0.0","CRTC2","CRTC2","I","false","CRTC2","viralmirna","0.0","100.0"
"27.2727272727273","0.0","PAK1","PAK1","I","false","PAK1","viralmirna","27.2727272727273","72.7272727272727"
"27.2727272727273","0.0","MEN1","MEN1","I","false","MEN1","viralmirna","27.2727272727273","72.7272727272727"
"-50.0","50.0","TAB1","TAB1","I","false","TAB1","viralmirna","0.0","50.0"
"45.4545454545455","0.0","SMARCC2","SMARCC2","I","false","SMARCC2","viralmirna","45.4545454545455","54.5454545454545"
"-36.3636363636364","36.3636363636364","YWHAZ","YWHAZ","I","false","YWHAZ","viralmirna","0.0","63.6363636363636"
"100.0","0.0","cov_miR_18","cov_miR_18","S","false","cov_miR_18","viralmirna","100.0","0.0"
"100.0","0.0","cov_miR_6","cov_miR_6","S","false","cov_miR_6","viralmirna","100.0","0.0"
"100.0","0.0","cov_miR_5","cov_miR_5","S","false","cov_miR_5","viralmirna","100.0","0.0"
"100.0","0.0","cov_miR_4","cov_miR_4","S","false","cov_miR_4","viralmirna","100.0","0.0"
"-100.0","100.0","CTCF","CTCF","T","false","CTCF","viralmirna","0.0","0.0"
"-45.4545454545455","45.4545454545455","EGLN3","EGLN3","I","false","EGLN3","viralmirna","0.0","54.5454545454545"
"-100.0","100.0","RIPK2","RIPK2","I","false","RIPK2","viralmirna","0.0","0.0"
"-50.0","50.0","TAB2","TAB2","I","false","TAB2","viralmirna","0.0","50.0"
"-100.0","100.0","SMAD1","SMAD1","I","false","SMAD1","viralmirna","0.0","0.0"
"36.3636363636364","0.0","CDK2","CDK2","I","false","CDK2","viralmirna","36.3636363636364","63.6363636363636"
"54.5454545454545","0.0","CREB1","CREB1","I","false","CREB1","viralmirna","54.5454545454545","45.4545454545455"
