all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	shared name	tf_layer
protein	NA	NA	NA	TPTEP2-CSNK1E		P49674	P49674	viralmirna;viralprotein		protein	FALSE	P49674	NA
protein	NA	NA	NA	RXRA		P19793	P19793	viralmirna;viralprotein		protein	FALSE	P19793	NA
protein	NA	NA	NA	LPAR2		Q9HBW0	Q9HBW0	viralmirna;viralprotein		protein	FALSE	Q9HBW0	NA
protein	NA	NA	NA	DNMT3A		Q9Y6K1	Q9Y6K1	viralprotein		protein	FALSE	Q9Y6K1	NA
protein	NA	NA	NA	GNB5		O14775	O14775	viralmirna;viralprotein		protein	FALSE	O14775	NA
protein	NA	NA	NA	MUC1	-1.04711726	P15941	P15941	viralprotein	7.16E-11	protein	FALSE	P15941	NA
protein	NA	NA	NA	TADA3		O75528	O75528	viralprotein		protein	FALSE	O75528	NA
protein	NA	NA	NA	TLN1		Q9Y490	Q9Y490	viralprotein		protein	FALSE	Q9Y490	NA
protein	NA	NA	NA	MAP4K3		Q8IVH8	Q8IVH8	viralprotein		protein	FALSE	Q8IVH8	NA
protein	NA	NA	NA	GRK5		P34947	P34947	viralprotein		protein	FALSE	P34947	NA
protein	NA	NA	NA	HDAC8		Q9BY41	Q9BY41	viralmirna;viralprotein		protein	FALSE	Q9BY41	NA
protein	NA	NA	NA	SUFU		Q9UMX1	Q9UMX1	viralmirna;viralprotein		protein	FALSE	Q9UMX1	NA
protein	NA	NA	NA	BMP4		P12644	P12644	viralprotein		protein	FALSE	P12644	NA
protein	NA	NA	NA	HSPA2		P54652	P54652	viralprotein		protein	FALSE	P54652	NA
protein	NA	NA	NA	PIK3C3		Q8NEB9	Q8NEB9	viralmirna;viralprotein		protein	FALSE	Q8NEB9	NA
protein	NA	NA	NA	RIPK2		O43353	O43353	viralmirna;viralprotein		protein	FALSE	O43353	NA
protein	NA	NA	NA	DACH1		Q9UI36	Q9UI36	viralprotein		protein	FALSE	Q9UI36	NA
protein	NA	NA	NA	CSF2RA		P15509	P15509	viralmirna;viralprotein		protein	FALSE	P15509	NA
protein	NA	NA	NA	DHX9	0.433698183	Q08211	Q08211	viralprotein	0.004610437	protein	FALSE	Q08211	NA
protein	NA	NA	NA	NFATC3		Q12968	Q12968	viralmirna;viralprotein		protein	FALSE	Q12968	NA
protein	NA	NA	NA	TAOK3		Q9H2K8	Q9H2K8	viralprotein		protein	FALSE	Q9H2K8	NA
protein	NA	NA	NA	TAF10	-0.275611913	Q12962	Q12962	viralmirna;viralprotein	1	protein	FALSE	Q12962	NA
protein	NA	NA	NA	ITGB6	-0.339369969	P18564	P18564	viralmirna;viralprotein	1	protein	FALSE	P18564	NA
protein	NA	NA	NA	PPP1R13B		Q96KQ4	Q96KQ4	viralprotein		protein	FALSE	Q96KQ4	NA
protein	NA	NA	NA	STRAP		Q9Y3F4	Q9Y3F4	viralmirna;viralprotein		protein	FALSE	Q9Y3F4	NA
protein	NA	NA	NA	HMGN1		P05114	P05114	viralmirna;viralprotein		protein	FALSE	P05114	NA
protein	NA	NA	NA	INCENP		Q9NQS7	Q9NQS7	viralmirna;viralprotein		protein	FALSE	Q9NQS7	NA
protein	NA	NA	NA	SMARCB1		Q12824	Q12824	viralprotein		protein	FALSE	Q12824	NA
protein	NA	NA	NA	ARID4A		P29374	P29374	viralmirna;viralprotein		protein	FALSE	P29374	NA
protein	NA	NA	NA	ADCY7		P51828	P51828	viralprotein		NA;protein	FALSE	P51828	NA
protein	NA	NA	NA	IRAK3		Q9Y616	Q9Y616	viralprotein		protein	FALSE	Q9Y616	NA
protein	NA	NA	NA	ATF4	-0.392091227	P18848	P18848	viralmirna;viralprotein	1	protein	FALSE	P18848	NA
protein	NA	NA	NA	HNRNPK	-0.276382708	P61978	P61978	viralmirna;viralprotein	1	protein	FALSE	P61978	NA
protein	NA	NA	NA	KMT2A	0.76680278	Q03164	Q03164	viralprotein	3.07E-06	protein	FALSE	Q03164	NA
protein	NA	NA	NA	IL4R		P24394	P24394	viralmirna;viralprotein		protein	FALSE	P24394	NA
bindingprot	bindingprot	NA	NA	PRNP		P04156	P04156	viralmirna		NA;protein	FALSE	P04156	NA
protein	NA	NA	NA	RRAS	-0.629013213	P10301	P10301	viralmirna;viralprotein	1.34E-04	protein	FALSE	P10301	NA
protein	NA	NA	NA	CYTH2		Q99418	Q99418	viralprotein		protein	FALSE	Q99418	NA
protein	NA	NA	NA	LFNG		Q8NES3	Q8NES3	viralmirna;viralprotein		protein	FALSE	Q8NES3	NA
protein	NA	NA	NA	LRP6		O75581	O75581	viralmirna;viralprotein		protein	FALSE	O75581	NA
protein	NA	NA	NA	HMGA1	-0.544110716	P17096	P17096	viralmirna;viralprotein	0.094961456	protein	FALSE	P17096	NA
protein	NA	NA	NA	ITGA5		P08648	P08648	viralmirna;viralprotein		protein	FALSE	P08648	NA
protein	NA	NA	NA	ASAP2		O43150	O43150	viralmirna;viralprotein		protein	FALSE	O43150	NA
protein	NA	NA	NA	DDR2		Q16832	Q16832	viralmirna;viralprotein		protein	FALSE	Q16832	NA
protein	NA	NA	NA	CCN2		P29279	P29279	viralprotein		protein	FALSE	P29279	NA
protein	NA	NA	NA	BIRC5		O15392	O15392	viralprotein		protein	FALSE	O15392	NA
protein	NA	NA	NA	PKN1		Q16512	Q16512	viralprotein		protein	FALSE	Q16512	NA
protein	NA	NA	NA	ROCK2		O75116	O75116	viralprotein		protein	FALSE	O75116	NA
protein	NA	NA	NA	TICAM1		Q8IUC6	Q8IUC6	viralmirna;viralprotein		protein	FALSE	Q8IUC6	NA
protein	NA	NA	NA	ESR2		Q92731	Q92731	viralmirna;viralprotein		protein	FALSE	Q92731	NA
protein;tf	NA	NA	NA	SP3		Q02447	Q02447	viralmirna;viralprotein		protein	FALSE	Q02447	tf
bindingprot;protein	bindingprot	NA	NA	CASP7		P55210	P55210	viralmirna;viralprotein		protein	FALSE	P55210	NA
protein	NA	NA	NA	MAP4K1		Q92918	Q92918	viralmirna;viralprotein		protein	FALSE	Q92918	NA
protein	NA	NA	NA	HDAC6		Q9UBN7	Q9UBN7	viralmirna;viralprotein		protein	FALSE	Q9UBN7	NA
protein	NA	NA	NA	IRF5		Q13568	Q13568	viralprotein		protein	FALSE	Q13568	NA
protein	NA	NA	NA	CLTC		Q00610	Q00610	viralprotein		protein	FALSE	Q00610	NA
protein	NA	NA	NA	F2R		P25116	P25116	viralmirna;viralprotein		protein	FALSE	P25116	NA
protein	NA	NA	NA	MFNG		O00587	O00587	viralmirna;viralprotein		protein	FALSE	O00587	NA
protein	NA	NA	NA	NUMB		P49757	P49757	viralmirna;viralprotein		protein	FALSE	P49757	NA
protein	NA	NA	NA	RRAGC		Q9HB90	Q9HB90	viralprotein		protein	FALSE	Q9HB90	NA
protein	NA	NA	NA	CREB3		O43889	O43889	viralmirna;viralprotein		protein	FALSE	O43889	NA
protein	NA	NA	NA	CDKN2D		P55273	P55273	viralprotein		protein	FALSE	P55273	NA
protein	NA	NA	NA	BUB1		O43683	O43683	viralprotein		protein	FALSE	O43683	NA
protein	NA	NA	NA	RARG		P13631	P13631	viralmirna;viralprotein		protein	FALSE	P13631	NA
protein	NA	NA	NA	EPHA8		P29322	P29322	viralmirna;viralprotein		protein	FALSE	P29322	NA
protein	NA	NA	NA	LRP1		Q07954	Q07954	viralprotein		protein	FALSE	Q07954	NA
protein	NA	NA	NA	CYTH3		O43739	O43739	viralprotein		protein	FALSE	O43739	NA
protein	NA	NA	NA	P4HB	-0.459440862	P07237	P07237	viralmirna;viralprotein	0.601109424	protein	FALSE	P07237	NA
protein	NA	NA	NA	PLEKHO1		Q53GL0	Q53GL0	viralmirna;viralprotein		protein	FALSE	Q53GL0	NA
protein	NA	NA	NA	ITGB5		P18084	P18084	viralmirna;viralprotein		protein	FALSE	P18084	NA
protein	NA	NA	NA	PIK3CD		O00329	O00329	viralmirna;viralprotein		protein	FALSE	O00329	NA
protein	NA	NA	NA	EPHB4		P54760	P54760	viralmirna;viralprotein		protein	FALSE	P54760	NA
protein	NA	NA	NA	ZNF420		Q8TAQ5	Q8TAQ5	viralprotein		protein	FALSE	Q8TAQ5	NA
protein	NA	NA	NA	NCL	0.4338098	P19338	P19338	viralmirna;viralprotein	1	protein	FALSE	P19338	NA
protein	NA	NA	NA	CCNE2		O96020	O96020	viralmirna;viralprotein		protein	FALSE	O96020	NA
protein	NA	NA	NA	SOX9	0.49215303	P48436	P48436	viralmirna;viralprotein	0.013626711	protein	FALSE	P48436	NA
protein	NA	NA	NA	NGEF		Q8N5V2	Q8N5V2	viralmirna;viralprotein		protein	FALSE	Q8N5V2	NA
bindingprot	bindingprot	NA	NA	TLR4		O00206	O00206	viralmirna		NA;protein	FALSE	O00206	NA
protein	NA	NA	NA	AP2S1		P53680	P53680	viralprotein		protein	FALSE	P53680	NA
protein	NA	NA	NA	CDC25A		P30304	P30304	viralmirna;viralprotein		protein	FALSE	P30304	NA
protein	NA	NA	NA	HNRNPU		Q00839	Q00839	viralprotein		protein	FALSE	Q00839	NA
bindingprot	bindingprot	NA	NA	TXLNG		Q9NUQ3	Q9NUQ3	viralmirna		NA;protein	FALSE	Q9NUQ3	NA
protein;tf	NA	NA	NA	JUNB	0.733528754	P17275	P17275	viralmirna	2.27E-05	NA;protein	FALSE	P17275	tf
protein	NA	NA	NA	PIM3	0.830448004	Q86V86	Q86V86	viralmirna;viralprotein	9.63E-10	protein	FALSE	Q86V86	NA
protein	NA	NA	NA	ESPL1		Q14674	Q14674	viralprotein		protein	FALSE	Q14674	NA
protein	NA	NA	NA	MAP4K5		Q9Y4K4	Q9Y4K4	viralprotein		protein	FALSE	Q9Y4K4	NA
protein	NA	NA	NA	PLCB2		Q00722	Q00722	viralmirna;viralprotein		protein	FALSE	Q00722	NA
protein	NA	NA	NA	PLD2		O14939	O14939	viralprotein		protein	FALSE	O14939	NA
protein	NA	NA	NA	IL32	-0.952300403	P24001	P24001	viralmirna;viralprotein	2.30E-07	protein	FALSE	P24001	NA
protein	NA	NA	NA	TMSB4X	-0.675279504	P62328	P62328	viralprotein	1.85E-10	protein	FALSE	P62328	NA
protein	NA	NA	NA	VRK1		Q99986	Q99986	viralprotein		protein	FALSE	Q99986	NA
protein	NA	NA	NA	PLK3		Q9H4B4	Q9H4B4	viralmirna;viralprotein		protein	FALSE	Q9H4B4	NA
protein	NA	NA	NA	GPC3		P51654	P51654	viralprotein		NA;protein	FALSE	P51654	NA
protein	NA	NA	NA	ITGAM		P11215	P11215	viralmirna;viralprotein		protein	FALSE	P11215	NA
protein	NA	NA	NA	RACGAP1		Q9H0H5	Q9H0H5	viralmirna;viralprotein		protein	FALSE	Q9H0H5	NA
protein	NA	NA	NA	GNAS	-0.427166467	P63092	P63092	viralprotein	0.090555975	protein	FALSE	P63092	NA
protein;tf	NA	NA	NA	RARA		P10276	P10276	viralmirna;viralprotein		protein	FALSE	P10276	tf
protein	NA	NA	NA	ACTN2		P35609	P35609	viralprotein		protein	FALSE	P35609	NA
protein	NA	NA	NA	TNFRSF25		Q93038	Q93038	viralmirna;viralprotein		protein	FALSE	Q93038	NA
protein	NA	NA	NA	FGF11		Q92914	Q92914	viralmirna;viralprotein		protein	FALSE	Q92914	NA
protein	NA	NA	NA	ZRANB2		O95218	O95218	viralprotein		protein	FALSE	O95218	NA
protein	NA	NA	NA	STAM		Q92783	Q92783	viralprotein		protein	FALSE	Q92783	NA
protein	NA	NA	NA	RALBP1		Q15311	Q15311	viralprotein		protein	FALSE	Q15311	NA
bindingprot	bindingprot	NA	NA	PPP2R2A		P63151	P63151	viralmirna		NA;protein	FALSE	P63151	NA
protein	NA	NA	NA	NCF1		P14598	P14598	viralmirna;viralprotein		protein	FALSE	P14598	NA
protein	NA	NA	NA	CYTH1		Q15438	Q15438	viralprotein		protein	FALSE	Q15438	NA
protein	NA	NA	NA	MST1R		Q04912	Q04912	viralmirna;viralprotein		protein	FALSE	Q04912	NA
protein	NA	NA	NA	ITGA9		Q13797	Q13797	viralmirna;viralprotein		protein	FALSE	Q13797	NA
protein	NA	NA	NA	HBEGF		Q99075	Q99075	viralprotein		protein	FALSE	Q99075	NA
protein	NA	NA	NA	LAT		O43561	O43561	viralmirna;viralprotein		protein	FALSE	O43561	NA
tf	NA	NA	NA	TEAD1		P28347	P28347	viralprotein		NA;protein	FALSE	P28347	tf
protein	NA	NA	NA	PPP2R5C		Q13362	Q13362	viralmirna;viralprotein		protein	FALSE	Q13362	NA
protein	NA	NA	NA	UBE2A	-0.511988159	P49459	P49459	viralprotein	0.001397367	protein	FALSE	P49459	NA
protein	NA	NA	NA	TCF3		P15923	P15923	viralmirna;viralprotein		protein	FALSE	P15923	NA
protein	NA	NA	NA	IL23A		Q9NPF7	Q9NPF7	viralmirna;viralprotein		protein	FALSE	Q9NPF7	NA
protein	NA	NA	NA	NCOA1		Q15788	Q15788	viralmirna;viralprotein		protein	FALSE	Q15788	NA
protein	NA	NA	NA	ARHGEF5		Q12774	Q12774	viralprotein		protein	FALSE	Q12774	NA
protein	NA	NA	NA	RAC2		P15153	P15153	viralmirna;viralprotein		protein	FALSE	P15153	NA
protein	NA	NA	NA	RCHY1		Q96PM5	Q96PM5	viralmirna;viralprotein		protein	FALSE	Q96PM5	NA
protein	NA	NA	NA	XPC		Q01831	Q01831	viralprotein		protein	FALSE	Q01831	NA
protein	NA	NA	NA	FLNA	-0.314425392	P21333	P21333	viralmirna;viralprotein	1	protein	FALSE	P21333	NA
protein	NA	NA	NA	DDB1		Q16531	Q16531	viralmirna;viralprotein		protein	FALSE	Q16531	NA
protein	NA	NA	NA	HNF4A		P41235	P41235	viralmirna;viralprotein		protein	FALSE	P41235	NA
bindingprot;protein	bindingprot	NA	NA	LIMK2		P53671	P53671	viralmirna;viralprotein		protein	FALSE	P53671	NA
protein	NA	NA	NA	YWHAG		P61981	P61981	viralmirna;viralprotein		protein	FALSE	P61981	NA
protein	NA	NA	NA	LPL		P06858	P06858	viralmirna;viralprotein		protein	FALSE	P06858	NA
protein	NA	NA	NA	ETV5		P41161	P41161	viralmirna;viralprotein		protein	FALSE	P41161	NA
protein	NA	NA	NA	STK16		O75716	O75716	viralmirna;viralprotein		protein	FALSE	O75716	NA
protein	NA	NA	NA	PRDX3		P30048	P30048	viralprotein		protein	FALSE	P30048	NA
protein	NA	NA	NA	NFAT5	0.707962399	O94916	O94916	viralmirna;viralprotein	1.50E-07	protein	FALSE	O94916	NA
bindingprot;protein	bindingprot	NA	NA	FADD		Q13158	Q13158	viralmirna;viralprotein		protein	FALSE	Q13158	NA
bindingprot	bindingprot	NA	NA	HOXA7		P31268	P31268	viralmirna		NA;protein	FALSE	P31268	NA
protein	NA	NA	NA	LITAF		Q99732	Q99732	viralprotein		protein	FALSE	Q99732	NA
protein	NA	NA	NA	SIRT2		Q8IXJ6	Q8IXJ6	viralprotein		protein	FALSE	Q8IXJ6	NA
protein	NA	NA	NA	EPHA1		P21709	P21709	viralmirna;viralprotein		protein	FALSE	P21709	NA
protein	NA	NA	NA	KPNB1		Q14974	Q14974	viralmirna;viralprotein		protein	FALSE	Q14974	NA
protein	NA	NA	NA	PKN2	0.35408462	Q16513	Q16513	viralprotein	1	protein	FALSE	Q16513	NA
protein	NA	NA	NA	NOD2		Q9HC29	Q9HC29	viralprotein		protein	FALSE	Q9HC29	NA
protein	NA	NA	NA	BCL3	0.70180252	P20749	P20749	viralmirna;viralprotein	9.77E-08	protein	FALSE	P20749	NA
protein	NA	NA	NA	IKBKG		Q9Y6K9	Q9Y6K9	viralmirna;viralprotein		protein	FALSE	Q9Y6K9	NA
protein	NA	NA	NA	CXCL8		P10145	P10145	viralmirna;viralprotein		protein	FALSE	P10145	NA
protein	NA	NA	NA	FBXO31		Q5XUX0	Q5XUX0	viralprotein		protein	FALSE	Q5XUX0	NA
protein	NA	NA	NA	RIN1		Q13671	Q13671	viralmirna;viralprotein		protein	FALSE	Q13671	NA
protein	NA	NA	NA	ITGA7		Q13683	Q13683	viralmirna;viralprotein		protein	FALSE	Q13683	NA
protein	NA	NA	NA	ARAP1		Q96P48	Q96P48	viralprotein		protein	FALSE	Q96P48	NA
protein	NA	NA	NA	HIC1		Q14526	Q14526	viralmirna;viralprotein		protein	FALSE	Q14526	NA
protein	NA	NA	NA	RPS6KA3		P51812	P51812	viralmirna;viralprotein		protein	FALSE	P51812	NA
