	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CAPS	0.000000	-0.492436997	0.151	0.452	0.000000
CXCL17	0.000000	0.801609231	0.966	0.918	0.000000
CBR1	0.000000	0.756168366	0.893	0.669	0.000000
NDUFA13	0.000000	0.645448905	0.908	0.763	0.000000
SLIRP	0.000000	0.608584893	0.906	0.746	0.000000
TSPAN8	0.000000	1.033117782	0.725	0.313	0.000000
JTB	0.000000	0.633245189	0.919	0.775	0.000000
BPIFA2	0.000000	0.67922947	0.63	0.175	0.000000
ZG16B	0.000000	0.820933182	0.843	0.476	0.000000
PSME2	0.000000	0.844269791	0.922	0.817	0.000000
ATP12A	0.000000	0.969578417	0.633	0.203	0.000000
TXN	0.000000	0.962739964	0.954	0.956	0.000000
PSCA	0.000000	1.614686289	0.943	0.763	0.000000
LYPD6B	0.000000	0.561006418	0.855	0.517	0.000000
MRPL33	0.000000	0.552461731	0.897	0.669	0.000000
BST2	0.000000	0.769489164	0.883	0.624	0.000000
DSP	0.000000	-1.068845899	0.888	0.928	0.000000
APLP2	0.000000	-0.633847606	0.947	0.948	0.000000
CYBA	0.000000	0.742070441	0.929	0.903	0.000000
UQCR11.1	0.000000	0.701203097	0.896	0.813	0.000000
COX6A1	0.000000	0.650972213	0.945	0.897	0.000000
DST	0.000000	-1.852163818	0.349	0.603	0.000000
PI3	0.000000	1.053771275	0.913	0.639	0.000000
RPS29	0.000000	0.76443604	0.954	0.949	0.000000
C19orf10	0.000000	0.679914581	0.874	0.613	0.000000
GCNT3	0.000000	0.489764777	0.595	0.146	0.000000
CXCL6	0.000000	1.151177217	0.601	0.17	0.000000
ANG	0.000000	0.453221049	0.593	0.156	0.000000
KRTCAP2	0.000000	0.578929405	0.902	0.708	0.000000
CLCA2	0.000000	-0.563285624	0.067	0.279	0.000000
DSTN	0.000000	0.57606086	0.961	0.907	0.000000
PSMB9	0.000000	0.794275285	0.862	0.63	0.000000
ATP1A1	0.000000	-0.635094545	0.958	0.961	0.000000
PET100	0.000000	0.551044931	0.903	0.73	0.000000
LINC00969	0.000000	-0.859148745	0.834	0.841	0.000000
XBP1	0.000000	0.809602058	0.967	0.89	0.000000
KCNE3	0.000000	0.605529436	0.823	0.418	0.000000
CRYM	0.000000	0.666023299	0.773	0.368	0.000000
SMIM14	0.000000	0.639633318	0.919	0.737	0.000000
COX16	0.000000	0.53908779	0.902	0.738	0.000000
ATP1B3	0.000000	-1.039003615	0.868	0.903	0.000000
NDUFA3	0.000000	0.569966563	0.877	0.658	0.000000
TRIM16	0.000000	0.491508733	0.773	0.39	0.000000
SEC61B	0.000000	0.657374208	0.928	0.845	0.000000
MRPL14	0.000000	0.518290242	0.89	0.682	0.000000
CEACAM6	0.000000	0.807614422	0.826	0.413	0.000000
OAS1	0.000000	0.694821064	0.863	0.508	0.000000
POLR2L	0.000000	0.668001237	0.921	0.87	0.000000
DEFB1	0.000000	0.65812861	0.693	0.272	0.000000
TMEM125	0.000000	0.372037255	0.712	0.279	0.000000
GLIPR2	0.000000	0.43940038	0.739	0.334	0.000000
SELENBP1	0.000000	0.618346152	0.917	0.745	0.000000
PDZK1IP1	0.000000	0.798606078	0.761	0.366	0.000000
CXCL1	0.000000	1.841290718	0.611	0.221	0.000000
LMTK3	0.000000	0.45687182	0.628	0.204	0.000000
EFHD2	0.000000	0.623749895	0.928	0.797	0.000000
BLOC1S1	0.000000	0.54977088	0.894	0.746	0.000000
GNPNAT1	0.000000	0.534106399	0.784	0.432	0.000000
MYL12B	0.000000	0.553219372	0.961	0.946	0.000000
TSPAN13	0.000000	0.599326105	0.924	0.751	0.000000
TMSB4X	0.000000	0.75221772	0.96	0.969	0.000000
SNRPG	0.000000	0.561896166	0.9	0.763	0.000000
HLA-C	0.000000	0.652571946	0.975	0.97	0.000000
NSA2	0.000000	0.531037176	0.915	0.746	0.000000
PDE4C	0.000000	0.368485523	0.547	0.142	0.000000
TCEB2	0.000000	0.601422649	0.927	0.907	0.000000
NPPC	0.000000	-0.254146636	0.01	0.107	0.000000
ATOX1	0.000000	0.572309222	0.902	0.701	0.000000
TFF3	0.000000	2.662902217	0.534	0.161	0.000000
RAB37	0.000000	0.470348754	0.741	0.311	0.000000
UQCRQ	0.000000	0.528165509	0.932	0.882	0.000000
MRPL52	0.000000	0.497867114	0.883	0.692	0.000000
C11orf31	0.000000	0.473567838	0.907	0.734	0.000000
SLPI	0.000000	0.579634645	0.978	0.985	0.000000
AMN	0.000000	0.315175944	0.678	0.244	0.000000
MX1	0.000000	0.684369509	0.903	0.627	0.000000
MDK	0.000000	0.760306074	0.95	0.868	0.000000
MSN	0.000000	-0.335569664	0.068	0.263	0.000000
TMEM220	0.000000	0.303099778	0.577	0.163	0.000000
GUK1	0.000000	0.544181087	0.923	0.852	0.000000
ZFP36L1	0.000000	-0.886982157	0.926	0.927	0.000000
TFF1	0.000000	0.941607757	0.497	0.103	0.000000
ERLEC1	0.000000	0.558441221	0.88	0.638	0.000000
B2M	0.000000	0.535268062	0.991	0.997	0.000000
RND3	0.000000	0.616327835	0.892	0.608	0.000000
HEBP2	0.000000	0.529769469	0.963	0.903	0.000000
GSN	0.000000	0.547949101	0.967	0.894	0.000000
C15orf48	0.000000	1.276824981	0.779	0.423	0.000000
AC110619.2	0.000000	0.31932248	0.469	0.086	0.000000
FAM83A	0.000000	0.307471489	0.558	0.141	0.000000
NANS	0.000000	0.532248405	0.893	0.677	0.000000
RPL41	0.000000	0.681588337	0.969	0.992	0.000000
NR2F6	0.000000	0.467364954	0.892	0.663	0.000000
COX6C	0.000000	0.532482682	0.951	0.941	0.000000
C14orf2	0.000000	0.542426137	0.926	0.837	0.000000
DYNLL1	0.000000	0.730096381	0.888	0.832	0.000000
TALDO1	0.000000	0.57220013	0.928	0.835	0.000000
IER3IP1.1	0.000000	0.426775435	0.837	0.549	0.000000
VDAC1	0.000000	0.525371997	0.936	0.815	0.000000
SCPEP1	0.000000	-0.845126274	0.751	0.803	0.000000
CLTA	0.000000	0.475468777	0.927	0.82	0.000000
HSPA1A	0.000000	-1.616478311	0.846	0.866	0.000000
BIK	0.000000	0.405354355	0.768	0.372	0.000000
UTY	0.000000	0.251853984	0.445	0.065	0.000000
FIS1	0.000000	0.407586367	0.872	0.611	0.000000
DNAJC15	0.000000	0.512949156	0.882	0.694	0.000000
PSMB8	0.000000	0.582279303	0.912	0.817	0.000000
TXNDC17	0.000000	0.481041515	0.908	0.749	0.000000
SAT1	0.000000	0.594206148	0.993	0.98	0.000000
LYZ	0.000000	0.316398008	0.695	0.323	0.000000
VAMP5	0.000000	0.745939878	0.719	0.366	0.000000
U47924.27	0.000000	0.348444408	0.674	0.282	0.000000
VGLL1	0.000000	0.344678526	0.512	0.125	0.000000
S100A16	0.000000	0.627401661	0.931	0.842	0.000000
GSTK1	0.000000	0.561363775	0.947	0.896	0.000000
PGD	0.000000	0.570327582	0.876	0.652	0.000000
EIF2S2	0.000000	0.468949119	0.92	0.769	0.000000
SCGB2A1	0.000000	0.565204561	0.673	0.303	0.000000
PRDX1	0.000000	0.694232211	0.977	0.977	0.000000
RNF181	0.000000	0.450829954	0.86	0.62	0.000000
ATP6V1G1	0.000000	0.496368321	0.958	0.907	0.000000
ATP5J2	0.000000	0.524030308	0.91	0.818	0.000000
CHMP5	0.000000	0.437291546	0.876	0.663	0.000000
HLA-F	0.000000	0.510956115	0.912	0.689	0.000000
ASRGL1	0.000000	0.549455954	0.915	0.72	0.000000
GTF3C6	0.000000	0.409180845	0.862	0.645	0.000000
RAMP1	0.000000	0.583847421	0.398	0.049	0.000000
MCTS1	0.000000	0.361778104	0.756	0.389	0.000000
NDUFA6	0.000000	0.503889851	0.871	0.648	0.000000
IVNS1ABP	0.000000	-0.701718565	0.668	0.748	0.000000
PRDX4	0.000000	0.47504327	0.808	0.511	0.000000
RARRES1	0.000000	1.077274342	0.842	0.5	0.000000
KDELR1	0.000000	0.432861214	0.933	0.821	0.000000
MYH9	0.000000	-0.692534488	0.785	0.837	0.000000
AKR1A1	0.000000	0.536188128	0.941	0.854	0.000000
PHLDA2	0.000000	0.52525494	0.721	0.352	0.000000
GALE	0.000000	0.452598126	0.825	0.501	0.000000
ST6GALNAC1	0.000000	0.50405126	0.911	0.718	0.000000
OST4	0.000000	0.56660755	0.91	0.824	0.000000
REEP3	0.000000	0.453984437	0.903	0.687	0.000000
TMEM160	0.000000	0.556427679	0.882	0.7	0.000000
SMIM4	0.000000	0.376494464	0.797	0.449	0.000000
NSG1	0.000000	-0.267179422	0.052	0.213	0.000000
DYNLT1	0.000000	0.538857319	0.888	0.793	0.000000
MT-ND4L	0.000000	-0.485341906	0.715	0.934	0.000000
HLA-B	0.000000	0.53195128	0.984	0.98	0.000000
GLRX	0.000000	0.657528341	0.835	0.576	0.000000
UQCRFS1	0.000000	0.387837078	0.86	0.601	0.000000
NDUFB4	0.000000	0.495031527	0.916	0.832	0.000000
RP11-345J4.5	0.000000	0.254875252	0.594	0.206	0.000000
PSMB5	0.000000	0.419201097	0.843	0.58	0.000000
IDO1	0.000000	0.691209937	0.786	0.389	0.000000
COX5A	0.000000	0.525828371	0.923	0.785	0.000000
SLC6A14	0.000000	0.589527944	0.888	0.592	0.000000
RP11-1143G9.4	0.000000	0.257784805	0.383	0.045	0.000000
MTRNR2L8	0.000000	-2.206406657	0.68	0.799	0.000000
CHPT1	0.000000	0.465218733	0.861	0.57	0.000000
MESP1	0.000000	0.548925811	0.746	0.423	0.000000
NDUFA7.1	0.000000	0.284559863	0.678	0.293	0.000000
RAB25	0.000000	0.482724728	0.894	0.721	0.000000
CHCHD2	0.000000	0.537494879	0.929	0.889	0.000000
NDUFV2	0.000000	0.512374297	0.917	0.859	0.000000
APOD	0.000000	0.431350131	0.577	0.201	0.000000
CHP1	0.000000	0.41767259	0.873	0.62	0.000000
ADH1B	0.000000	0.591850518	0.71	0.363	0.000000
RPS10	0.000000	0.616886558	0.9	0.851	0.000000
FAM114A1	0.000000	0.41526103	0.855	0.575	0.000000
MUC1	0.000000	0.615973322	0.976	0.925	0.000000
BCAS1	0.000000	0.471920678	0.832	0.503	0.000000
KLK11	0.000000	0.550362574	0.739	0.363	0.000000
CSTB	0.000000	0.627150686	0.963	0.956	0.000000
RNASET2	0.000000	0.405610112	0.826	0.525	0.000000
RABAC1	0.000000	0.516537865	0.885	0.707	0.000000
LSMD1	0.000000	0.491417357	0.864	0.683	0.000000
CMAS	0.000000	0.384865827	0.84	0.568	0.000000
PLAT	0.000000	-0.525592647	0.078	0.261	0.000000
OSTC	0.000000	0.529305603	0.859	0.642	0.000000
GNAI1	0.000000	0.404186551	0.802	0.469	0.000000
UCP2	0.000000	0.401333555	0.654	0.289	0.000000
PSMA2.1	0.000000	0.418056165	0.83	0.563	0.000000
EPSTI1	0.000000	0.37081568	0.675	0.289	0.000000
TM4SF1	0.000000	0.828794557	0.803	0.507	0.000000
CYP2F1	0.000000	0.64483689	0.89	0.587	0.000000
NDUFA1	0.000000	0.415130806	0.936	0.875	0.000000
COX7C	0.000000	0.460801084	0.956	0.934	0.000000
SERPINB10	0.000000	0.343723079	0.387	0.059	0.000000
MRPS18C	0.000000	0.393475558	0.838	0.587	0.000000
SLC35D2	0.000000	0.330373086	0.728	0.382	0.000000
SSR4	0.000000	0.519997842	0.929	0.873	0.000000
SLC44A4	0.000000	0.464209921	0.918	0.649	0.000000
FXYD3	0.000000	0.458788192	0.966	0.965	0.000000
ALDH3B1	0.000000	0.411613689	0.749	0.387	0.000000
UBE2L6	0.000000	0.379195392	0.74	0.373	0.000000
AZGP1	0.000000	0.333911563	0.612	0.218	0.000000
HIGD1A	0.000000	0.352958227	0.792	0.459	0.000000
TIMM10	0.000000	0.319919622	0.753	0.386	0.000000
CRB3	0.000000	0.262294946	0.64	0.266	0.000000
CCDC69	0.000000	0.284438399	0.624	0.238	0.000000
HLA-A	0.000000	0.482554143	0.982	0.969	0.000000
PSMA7	0.000000	0.47346615	0.921	0.81	0.000000
HM13	0.000000	0.476606914	0.879	0.668	0.000000
GOLM1	0.000000	0.517519997	0.934	0.734	0.000000
ATP5L	0.000000	0.463389437	0.935	0.882	0.000000
ADI1	0.000000	0.450250383	0.893	0.694	0.000000
FGGY	0.000000	0.332951202	0.677	0.31	0.000000
PPIB	0.000000	0.523422147	0.944	0.875	0.000000
NPDC1	0.000000	0.300561338	0.588	0.215	0.000000
TGM2	0.000000	0.421225703	0.774	0.377	0.000000
CST3	0.000000	0.501192784	0.946	0.961	0.000000
SCAND1	0.000000	0.403257215	0.887	0.72	0.000000
PSMB6	0.000000	0.413397188	0.889	0.7	0.000000
PTPRF	0.000000	-0.606824313	0.801	0.813	0.000000
CFB	0.000000	0.476168637	0.799	0.397	0.000000
SPARCL1	0.000000	-0.93837891	0.292	0.517	0.000000
TBCA	0.000000	0.418172908	0.897	0.731	0.000000
FUT6	0.000000	0.366303508	0.783	0.417	0.000000
TMEM54	0.000000	0.368730124	0.852	0.582	0.000000
NKTR	0.000000	-0.611510662	0.851	0.851	0.000000
HLA-DMA	0.000000	0.47017796	0.785	0.463	0.000000
KRT7	0.000000	0.643437328	0.968	0.917	0.000000
FKBP11	0.000000	0.429651671	0.665	0.327	0.000000
FAT2	0.000000	-0.596398925	0.17	0.375	0.000000
TCEAL8	0.000000	0.326963502	0.762	0.434	0.000000
RPS26	0.000000	0.586780644	0.953	0.938	0.000000
GGCT	0.000000	0.265323108	0.766	0.399	0.000000
MGST1	0.000000	0.537683519	0.951	0.877	0.000000
HES4	0.000000	0.515518195	0.715	0.366	0.000000
BCAT1	0.000000	0.519022419	0.395	0.075	0.000000
PTS	0.000000	0.321598756	0.791	0.479	0.000000
SHFM1	0.000000	0.399195325	0.933	0.858	0.000000
ZNHIT1	0.000000	0.375032311	0.886	0.701	0.000000
WBP5	0.000000	0.317048894	0.699	0.339	0.000000
ATP6V1F	0.000000	0.442797859	0.848	0.694	0.000000
CLIC1	0.000000	0.491651274	0.948	0.921	0.000000
TSTA3	0.000000	0.413668663	0.835	0.569	0.000000
C8orf59	0.000000	0.383175793	0.881	0.707	0.000000
YIF1A	0.000000	0.365943666	0.811	0.513	0.000000
KDELR2	0.000000	0.424192164	0.903	0.738	0.000000
CLDN10	0.000000	0.591661143	0.504	0.18	0.000000
STX10	0.000000	0.295133826	0.762	0.424	0.000000
SAA1	0.000000	1.659432864	0.596	0.286	0.000000
RP11-294O2.2	0.000000	0.452393676	0.705	0.403	0.000000
NDUFC1	0.000000	0.389138388	0.917	0.789	0.000000
TMBIM4.1	0.000000	0.365686395	0.922	0.815	0.000000
COX14	0.000000	0.420910072	0.877	0.689	0.000000
BAX	0.000000	0.274245543	0.746	0.382	0.000000
CISD1	0.000000	0.316122928	0.807	0.496	0.000000
ATP5C1	0.000000	0.402178876	0.904	0.731	0.000000
CISD2	0.000000	0.256777729	0.691	0.342	0.000000
ABRACL	0.000000	0.36166117	0.852	0.618	0.000000
CLIC3	0.000000	0.398710595	0.488	0.152	0.000000
CLTB	0.000000	0.394152434	0.887	0.687	0.000000
IFI44L	0.000000	0.41436689	0.697	0.32	0.000000
RPS27L	0.000000	0.509168778	0.87	0.652	0.000000
COPE	0.000000	0.437993967	0.899	0.786	0.000000
NET1	0.000000	-0.651326758	0.795	0.821	0.000000
IGFBP2	0.000000	-0.76286434	0.379	0.575	0.000000
DAD1	0.000000	0.43502036	0.892	0.737	0.000000
VTI1B	0.000000	0.321529534	0.796	0.469	0.000000
CD63	0.000000	0.388157169	0.971	0.97	0.000000
JUNB	0.000000	-1.031510448	0.705	0.79	0.000000
TCEB1	0.000000	0.391333523	0.853	0.628	0.000000
CYB5A	0.000000	0.640608053	0.916	0.786	0.000000
PAQR4	0.000000	0.311930984	0.477	0.151	0.000000
MRPL20	0.000000	0.369185949	0.908	0.763	0.000000
ATPIF1	0.000000	0.423663869	0.92	0.855	0.000000
ARF4	0.000000	0.433497994	0.888	0.703	0.000000
EPAS1	0.000000	-0.656868432	0.939	0.97	0.000000
NOP10	0.000000	0.398164894	0.835	0.604	0.000000
SRP14	0.000000	0.318653035	0.952	0.938	0.000000
ABLIM1	0.000000	0.484982018	0.927	0.734	0.000000
CXCL3	0.000000	0.841299285	0.38	0.076	0.000000
SDCBP2	0.000000	0.422289286	0.814	0.552	0.000000
C12orf23	0.000000	0.296422122	0.669	0.327	0.000000
RGCC	0.000000	0.298716144	0.536	0.189	0.000000
RNASE1	0.000000	0.558439268	0.374	0.073	0.000000
NDUFAB1	0.000000	0.371849482	0.866	0.648	0.000000
RPS21	0.000000	0.500967032	0.942	0.949	0.000000
LINC00116	0.000000	0.302715539	0.774	0.444	0.000000
MGAM	0.000000	0.27137137	0.462	0.128	0.000000
HIGD2A	0.000000	0.41381443	0.866	0.682	0.000000
MYEOV2	0.000000	0.372402688	0.862	0.663	0.000000
HINT1	0.000000	0.480003224	0.936	0.893	0.000000
HSPA1B	0.000000	-1.088416363	0.843	0.818	0.000000
RPL36AL	0.000000	0.428487186	0.928	0.907	0.000000
PLAC8	0.000000	0.577767313	0.925	0.8	0.000000
CITED4	0.000000	0.28416028	0.697	0.344	0.000000
S100A11	0.000000	0.431347999	0.962	0.99	0.000000
TMEM256	0.000000	0.288939896	0.759	0.432	0.000000
VMO1	0.000000	0.560828312	0.944	0.893	0.000000
FUT3	0.000000	0.345673247	0.794	0.451	0.000000
HLA-DRB1	0.000000	0.721580733	0.861	0.625	0.000000
NUPR1	0.000000	-0.859491198	0.469	0.635	0.000000
BCAM	0.000000	-0.714265017	0.224	0.421	0.000000
HSBP1	0.000000	0.400749833	0.908	0.82	0.000000
ATP2C2	0.000000	0.293686609	0.655	0.297	0.000000
PSAP	0.000000	-0.524487878	0.906	0.917	0.000000
GPX1	0.000000	0.595143317	0.917	0.91	0.000000
COX7B	0.000000	0.45575616	0.933	0.873	0.000000
NMB	0.000000	0.267295632	0.578	0.239	0.000000
SMIM5	0.000000	0.268992856	0.452	0.131	0.000000
C20orf24	0.000000	0.399480281	0.852	0.661	0.000000
MANF	0.000000	0.399305355	0.786	0.5	0.000000
FDX1	0.000000	0.362919779	0.839	0.62	0.000000
KRT4	0.000000	0.967235882	0.726	0.456	0.000000
GDF15	0.000000	0.40131116	0.732	0.356	0.000000
FCGBP	0.000000	0.808751083	0.545	0.218	0.000000
TXNIP	0.000000	-0.681960394	0.952	0.965	0.000000
HPGD	0.000000	0.553023005	0.755	0.446	0.000000
RNF114	0.000000	0.300905004	0.753	0.42	0.000000
ERAP2	0.000000	-0.564893306	0.422	0.58	0.000000
TRIP6	0.000000	0.296955217	0.801	0.501	0.000000
Sep-15	0.000000	0.335998767	0.876	0.677	0.000000
ISG15	0.000000	0.635222873	0.716	0.437	0.000000
SPCS1	0.000000	0.384416734	0.905	0.821	0.000000
SLC31A1	0.000000	0.461560463	0.914	0.718	0.000000
PSMA5	0.000000	0.314388432	0.859	0.662	0.000000
PSMC3	0.000000	0.346829696	0.849	0.604	0.000000
PIGR	0.000000	0.461362607	0.964	0.7	0.000000
MACC1	0.000000	0.428697482	0.873	0.589	0.000000
PPM1K	0.000000	0.310784149	0.719	0.369	0.000000
MTIF3	0.000000	0.331693929	0.808	0.506	0.000000
GMDS	0.000000	0.302576518	0.764	0.438	0.000000
ALDOA	0.000000	0.463717396	0.959	0.944	0.000000
ME1	0.000000	0.273094729	0.631	0.28	0.000000
EIF6	0.000000	0.372555248	0.867	0.685	0.000000
CCNO	0.000000	0.432781007	0.721	0.407	0.000000
BID	0.000000	0.255659814	0.71	0.372	0.000000
PSMB1	0.000000	0.384177544	0.925	0.845	0.000000
RPL38	0.000000	0.350827814	0.957	0.951	0.000000
MARCKSL1	0.000000	0.361264564	0.736	0.415	0.000000
SUMO2	0.000000	0.349968751	0.937	0.88	0.000000
SCEL	0.000000	0.281900682	0.533	0.193	0.000000
MISP	0.000000	0.291732551	0.758	0.413	0.000000
TNC	0.000000	-0.53026843	0.111	0.29	0.000000
NDUFA11	0.000000	0.373292899	0.891	0.751	0.000000
SERPING1	0.000000	0.259893779	0.58	0.227	0.000000
CBX6	0.000000	0.266619562	0.706	0.361	0.000000
CYP2J2	0.000000	0.351907025	0.697	0.386	0.000000
PSMB2	0.000000	0.326600733	0.863	0.639	0.000000
CLSTN1	0.000000	-0.641725122	0.844	0.839	0.000000
MAL2	0.000000	0.395874389	0.94	0.8	0.000000
ITGA6	0.000000	-0.699227714	0.274	0.465	0.000000
PKIB	0.000000	0.30462234	0.462	0.152	0.000000
MTRNR2L1	0.000000	0.461983355	0.379	0.096	0.000000
SEL1L3	0.000000	0.337881088	0.841	0.545	0.000000
TIMM13	0.000000	0.316474272	0.856	0.617	0.000000
FUS	0.000000	-0.496472737	0.912	0.866	0.000000
RBX1	0.000000	0.380931238	0.888	0.731	0.000000
MRPS15	0.000000	0.28910333	0.812	0.554	0.000000
SMAGP	0.000000	0.321265929	0.78	0.504	0.000000
LINC00493	0.000000	0.336850005	0.867	0.663	0.000000
PERP	0.000000	-0.558461267	0.98	0.987	0.000000
TSPO	0.000000	0.436956468	0.921	0.845	0.000000
TXNL1	0.000000	0.297130992	0.847	0.634	0.000000
CP	0.000000	0.449481836	0.975	0.752	0.000000
MIR205HG	0.000000	-1.276086304	0.826	0.81	0.000000
PART1	0.000000	0.354548049	0.508	0.201	0.000000
MINOS1	0.000000	0.350320879	0.891	0.728	0.000000
TCEA3	0.000000	0.316360363	0.761	0.461	0.000000
PNISR	0.000000	-0.537072258	0.904	0.855	0.000000
JUN	0.000000	-1.476222912	0.665	0.735	0.000000
RBM8A	0.000000	0.336136232	0.913	0.756	0.000000
SDF2L1	0.000000	0.328531861	0.757	0.448	0.000000
CHMP3	0.000000	0.319162945	0.894	0.68	0.000000
BRI3	0.000000	0.434836854	0.873	0.782	0.000000
UBL5	0.000000	0.378851514	0.909	0.876	0.000000
TXNL4A	0.000000	0.264617846	0.819	0.577	0.000000
TST	0.000000	0.252342697	0.753	0.428	0.000000
CALM2	0.000000	0.372434347	0.934	0.906	0.000000
SAA2	0.000000	1.087131292	0.543	0.254	0.000000
TAF10	0.000000	0.351570776	0.83	0.624	0.000000
KLF4	0.000000	0.34629766	0.799	0.461	0.000000
TMEM59	0.000000	0.40376015	0.959	0.934	0.000000
PIGP	0.000000	0.273623411	0.694	0.376	0.000000
HSBP1L1	0.000000	0.350331668	0.87	0.662	0.000000
GIPC1	0.000000	0.325118696	0.847	0.621	0.000000
ARRB2	0.000000	0.331048326	0.699	0.372	0.000000
MIEN1	0.000000	0.281095215	0.808	0.513	0.000000
NQO1	0.000000	0.693943885	0.841	0.658	0.000000
RPL39	0.000000	0.43056482	0.959	0.955	0.000000
RHOA	0.000000	0.341037738	0.933	0.827	0.000000
UNC5B-AS1	0.000000	0.338364867	0.683	0.355	0.000000
ARL1	0.000000	0.346890816	0.888	0.692	0.000000
LY6D	0.000000	1.357309391	0.685	0.49	0.000000
PHPT1	0.000000	0.335754218	0.837	0.617	0.000000
SF3B5	0.000000	0.330829784	0.825	0.576	0.000000
