pvalue,log2FoldChange,pct.1,pct.2,padj,Gene,comparison
7.63E-19,-0.949734049,1,1,1.56E-14,TPM1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.30E-19,1.274054334,0.681,0.197,1.90E-14,NR1D1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.07E-18,-0.992192937,1,1,4.22E-14,PIGR,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
6.83E-17,-0.85029473,0.851,0.976,1.40E-12,TPM4,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.03E-17,-0.983382911,1,1,1.85E-12,B2M,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.14E-16,1.020349811,0.915,0.601,2.33E-12,REL,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.21E-16,-0.948127487,1,0.995,2.48E-12,EPCAM,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.32E-16,-0.857711273,0.66,0.933,2.70E-12,TSPAN3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.70E-16,-1.445501177,0.723,0.933,5.51E-12,TXNRD1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.26E-16,1.063578449,0.66,0.332,6.65E-12,ZC3H12C,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
7.17E-16,0.859214276,0.787,0.49,1.47E-11,ZFP36,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
7.67E-16,0.874021484,0.872,0.495,1.57E-11,EPC1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.30E-16,1.122939839,0.979,0.62,1.90E-11,CXCL2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.45E-15,0.800749524,0.745,0.5,2.96E-11,SETD5,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.47E-15,1.251104945,0.681,0.37,3.00E-11,ZBTB10,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.48E-15,0.997262905,0.957,0.726,3.02E-11,RSRC2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.50E-15,-0.855187374,0.596,0.894,3.06E-11,APLP2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.00E-15,-0.892429401,0.532,0.913,6.13E-11,SLC44A4,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.51E-15,-1.04711726,0.723,0.942,7.16E-11,MUC1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
8.74E-15,0.868182826,0.787,0.582,1.78E-10,RSF1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.08E-15,-0.675279504,1,1,1.85E-10,TMSB4X,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.43E-15,-0.885877812,0.404,0.894,1.93E-10,BSG,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.83E-15,0.899085781,0.851,0.639,2.01E-10,CHD1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.06E-14,0.984928012,0.851,0.591,2.17E-10,CHD2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.28E-14,-0.711142918,0.894,0.976,2.61E-10,PLS1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.58E-14,-0.896663371,0.787,0.976,3.24E-10,HSPB1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.60E-14,0.759701703,0.851,0.567,3.26E-10,SUZ12,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.91E-14,-0.805157189,0.979,1,3.90E-10,MYL6,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.24E-14,1.287352337,0.915,0.587,4.58E-10,HES1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.74E-14,0.667847336,0.851,0.567,5.59E-10,XPO1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.04E-14,-1.014282516,0.553,0.909,6.21E-10,ABCB1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.36E-14,-0.809509145,0.596,0.952,6.85E-10,CST3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.45E-14,0.796587166,0.809,0.438,7.05E-10,CNOT4,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.46E-14,0.921494939,0.617,0.284,7.08E-10,UVRAG,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.16E-14,-0.835711833,0.915,0.995,8.50E-10,CYSTM1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.37E-14,-0.899694484,0.787,0.976,8.93E-10,EDF1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.71E-14,0.830448004,0.915,0.635,9.63E-10,PIM3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.96E-14,0.779805368,0.702,0.399,1.01E-09,GATA6,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
5.22E-14,0.89722374,0.894,0.62,1.07E-09,NFKBIZ,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
5.79E-14,-0.999392339,1,0.995,1.18E-09,IFI27,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
7.59E-14,-1.061568278,0.532,0.827,1.55E-09,COPB1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
7.62E-14,0.997878613,1,0.832,1.56E-09,CXCL3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
8.07E-14,0.815416361,0.83,0.673,1.65E-09,KMT2E,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
8.92E-14,-1.07889583,0.957,0.99,1.82E-09,HLA-B,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.50E-14,0.898029303,0.638,0.37,1.94E-09,ZBTB20,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.06E-13,0.827008449,0.66,0.404,2.16E-09,CYLD,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.13E-13,-0.727267719,1,0.986,2.30E-09,EIF1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.39E-13,0.641955146,0.723,0.582,2.83E-09,NRIP1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.41E-13,0.805357871,0.617,0.183,2.88E-09,ARRDC3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.48E-13,0.892102629,0.957,0.784,3.03E-09,TXNIP,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.67E-13,-0.90400071,0.809,0.947,3.40E-09,ITGB1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.73E-13,-0.756882443,0.894,0.99,3.53E-09,YWHAZ,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.64E-13,-0.653256769,0.766,0.923,5.40E-09,TAX1BP1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.09E-13,0.788202461,0.745,0.486,6.31E-09,NSRP1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.21E-13,-1.019440713,0.702,0.904,6.56E-09,CD59,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.63E-13,0.806973816,0.723,0.442,7.42E-09,ESF1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.73E-13,-0.691217386,0.66,0.889,7.62E-09,PSAP,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.91E-13,-1.000853373,0.957,0.976,7.98E-09,HLA-C,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.17E-13,-0.858063831,1,1,8.52E-09,HLA-A,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.39E-13,0.797528288,0.766,0.375,8.96E-09,ODC1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
5.07E-13,0.669551702,0.532,0.332,1.04E-08,KLF10,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
6.23E-13,-0.731629403,0.83,0.962,1.27E-08,TPM3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
6.61E-13,1.069359216,0.702,0.322,1.35E-08,EGR1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
6.76E-13,-0.663624894,0.723,0.942,1.38E-08,CTNNA1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
7.73E-13,-0.571348385,1,0.995,1.58E-08,CALM1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
7.81E-13,-0.924302479,0.383,0.851,1.60E-08,CD55,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
7.98E-13,-0.719378141,1,1,1.63E-08,TSPAN8,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.41E-12,-0.750258243,0.936,0.971,2.87E-08,MYL12A,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.43E-12,-1.015276493,0.596,0.827,2.91E-08,ANXA1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.64E-12,0.888492047,0.851,0.663,3.34E-08,ARID4B,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.74E-12,-0.789212166,0.723,0.918,3.55E-08,ANXA3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.29E-12,-0.973552672,0.936,0.99,4.68E-08,S100A11,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.35E-12,1.290408126,0.851,0.601,4.80E-08,ZNF292,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.55E-12,0.906771215,0.681,0.428,5.20E-08,BHLHE40,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.03E-12,0.783822408,0.745,0.562,6.19E-08,NFKB1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.66E-12,0.761518695,0.809,0.495,7.48E-08,C6orf222,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.78E-12,0.70180252,0.723,0.438,9.77E-08,BCL3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.86E-12,-0.787506951,1,1,9.93E-08,FTH1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
5.98E-12,0.840641507,0.83,0.611,1.22E-07,CEP350,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
7.32E-12,0.707962399,0.745,0.519,1.50E-07,NFAT5,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
8.61E-12,0.883471828,0.83,0.553,1.76E-07,TIPARP,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.26E-12,-0.756039862,0.872,0.962,1.89E-07,PFN1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.75E-12,1.032991384,0.915,0.721,1.99E-07,NEDD4L,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.05E-11,-0.773832839,0.596,0.942,2.15E-07,CTSD,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.13E-11,-0.952300403,1,0.995,2.30E-07,IL32,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.13E-11,-0.710121866,0.681,0.909,2.31E-07,DYNLT1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.19E-11,0.781459703,0.872,0.635,2.44E-07,BAZ1A,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.28E-11,1.148859583,0.532,0.274,2.61E-07,NAV2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.42E-11,-0.697943618,0.915,0.986,2.90E-07,CFL1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.58E-11,-0.711100143,0.915,0.938,3.22E-07,ITM2C,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.58E-11,-0.619555999,1,1,3.23E-07,S100A6,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.63E-11,0.613239171,0.468,0.389,3.32E-07,CTDSPL2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.97E-11,-0.705181082,0.617,0.875,4.01E-07,ERO1A,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.08E-11,-0.843974068,0.489,0.875,4.25E-07,TMEM59,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.20E-11,-0.571134467,0.83,0.981,4.50E-07,ARPC2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.60E-11,-0.623684123,0.83,0.909,5.32E-07,MAL2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.71E-11,0.689071765,0.915,0.62,5.53E-07,BRD2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.08E-11,0.996996988,0.957,0.788,6.29E-07,TNFAIP2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.25E-11,-0.63450196,0.979,0.995,6.63E-07,SERF2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.30E-11,1.006257566,0.851,0.745,6.74E-07,SPEN,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.30E-11,0.860343199,0.638,0.337,6.75E-07,HIVEP2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.74E-11,-0.754346368,0.894,0.962,7.64E-07,RRBP1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.75E-11,-0.627140565,0.936,0.976,7.66E-07,EZR,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.04E-11,0.822461081,0.723,0.495,8.24E-07,PDE4D,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.19E-11,0.687689347,0.702,0.486,8.56E-07,TNF,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.20E-11,-0.71757518,1,0.995,8.59E-07,MYL12B,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.43E-11,-0.593411955,0.638,0.788,9.04E-07,ADAM9,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.56E-11,-0.740971008,0.404,0.822,9.32E-07,GALNT3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.95E-11,0.681741512,0.511,0.192,1.01E-06,DENND4A,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
5.09E-11,-0.617359404,0.681,0.865,1.04E-06,CAP1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
5.52E-11,-0.841930939,0.915,0.918,1.13E-06,GPRC5A,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
5.79E-11,-0.712687149,0.426,0.788,1.18E-06,ERP29,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
6.79E-11,0.773120729,0.83,0.615,1.39E-06,YTHDC1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
8.29E-11,0.593195296,0.702,0.38,1.69E-06,SFSWAP,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
9.54E-11,0.719356812,0.894,0.611,1.95E-06,CHD9,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.01E-10,-0.919415604,0.915,0.99,2.06E-06,SH3BGRL3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.03E-10,-0.774908349,0.745,0.928,2.09E-06,COL17A1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.12E-10,-0.742740086,0.681,0.928,2.28E-06,SFN,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.12E-10,-0.776078442,0.872,0.981,2.29E-06,ASS1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.24E-10,-0.739073762,0.66,0.899,2.53E-06,CTSS,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.29E-10,-1.296991897,0.787,0.942,2.63E-06,S100P,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.43E-10,-0.661705618,0.617,0.909,2.92E-06,CD46,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.49E-10,0.621539491,0.915,0.63,3.05E-06,BRD4,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.50E-10,0.76680278,0.809,0.62,3.07E-06,KMT2A,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.58E-10,-0.552692525,1,1,3.24E-06,TMSB10,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.59E-10,0.702242887,0.404,0.096,3.25E-06,GEM,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.68E-10,0.594841405,0.851,0.659,3.44E-06,ACSL3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.89E-10,0.543911785,0.383,0.053,3.86E-06,PER1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.05E-10,0.851529599,0.489,0.168,4.19E-06,SRFBP1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.18E-10,-0.573052303,0.745,0.962,4.45E-06,ANXA11,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.36E-10,1.242555436,0.66,0.404,4.82E-06,GADD45B,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.49E-10,0.621055846,0.766,0.534,5.08E-06,DHX36,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.54E-10,0.698998275,0.447,0.139,5.19E-06,NOCT,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.62E-10,-0.806407012,0.809,0.885,5.35E-06,LAMC2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.65E-10,0.753345212,0.83,0.611,5.42E-06,ASCC3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.71E-10,0.796751537,0.851,0.543,5.53E-06,ICAM1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.76E-10,-0.943837492,0.596,0.894,5.64E-06,SLPI,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.90E-10,-0.589962093,0.979,0.995,5.93E-06,HSP90AA1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
