from	to	source	database
CCL8	CCR5	Fantom5_LRdb	Fantom5_LRdb
CCL8	CCR5	Guide2Pharma	Guide2Pharma
CCL8	CCR5	Guide2Pharma_Cellinker	Guide2Pharma_Cellinker
CCL8	CCR5	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CCL8	CCR5	Guide2Pharma_talklr	Guide2Pharma_talklr
CCL8	CCR5	HPMR_Cellinker	HPMR_Cellinker
CCL8	CCR5	HPMR_LRdb	HPMR_LRdb
CCL8	CCR5	HPMR_talklr	HPMR_talklr
CCL8	CCR5	HPRD	HPRD
CCL8	CCR5	HPRD_LRdb	HPRD_LRdb
CCL8	CCR5	HPRD_talklr	HPRD_talklr
CCL8	CCR5	ICELLNET	ICELLNET
CCL8	CCR5	InnateDB	InnateDB
CCL8	CCR5	KEGG-MEDICUS	KEGG-MEDICUS
CCL8	CCR5	LRdb	LRdb
CCL8	CCR5	Ramilowski2015	Ramilowski2015
CCL8	CCR5	SPIKE	SPIKE
CCL8	CCR5	Wang	Wang
CCL8	CCR5	connectomeDB2020	connectomeDB2020
CCL8	CCR5	iTALK	iTALK
CCL8	CCR5	scConnect	scConnect
CCL8	CCR5	talklr	talklr
CCL4	CCR5	Baccin2019	Baccin2019
CCL4	CCR5	CellCall	CellCall
CCL4	CCR5	CellChatDB	CellChatDB
CCL4	CCR5	CellPhoneDB	CellPhoneDB
CCL4	CCR5	CellTalkDB	CellTalkDB
CCL4	CCR5	Cellinker	Cellinker
CCL4	CCR5	DIP	DIP
CCL4	CCR5	DLRP_Cellinker	DLRP_Cellinker
CCL4	CCR5	DLRP_talklr	DLRP_talklr
CCL4	CCR5	Fantom5_LRdb	Fantom5_LRdb
CCL4	CCR5	Guide2Pharma	Guide2Pharma
CCL4	CCR5	Guide2Pharma_Cellinker	Guide2Pharma_Cellinker
CCL4	CCR5	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CCL4	CCR5	Guide2Pharma_talklr	Guide2Pharma_talklr
CCL4	CCR5	HPMR_Cellinker	HPMR_Cellinker
CCL4	CCR5	HPMR_LRdb	HPMR_LRdb
CCL4	CCR5	HPMR_talklr	HPMR_talklr
CCL4	CCR5	HPRD	HPRD
CCL4	CCR5	HPRD_LRdb	HPRD_LRdb
CCL4	CCR5	HPRD_talklr	HPRD_talklr
CCL4	CCR5	ICELLNET	ICELLNET
CCL4	CCR5	InnateDB	InnateDB
CCL4	CCR5	KEGG-MEDICUS	KEGG-MEDICUS
CCL4	CCR5	Kirouac2010	Kirouac2010
CCL4	CCR5	LRdb	LRdb
CCL4	CCR5	Lit-BM-17	Lit-BM-17
CCL4	CCR5	Ramilowski2015	Ramilowski2015
CCL4	CCR5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CCL4	CCR5	SIGNOR	SIGNOR
CCL4	CCR5	SPIKE	SPIKE
CCL4	CCR5	Wang	Wang
CCL4	CCR5	connectomeDB2020	connectomeDB2020
CCL4	CCR5	iTALK	iTALK
CCL4	CCR5	scConnect	scConnect
CCL4	CCR5	talklr	talklr
DKK1	LRP6	Baccin2019	Baccin2019
DKK1	LRP6	CancerCellMap	CancerCellMap
DKK1	LRP6	CellCall	CellCall
DKK1	LRP6	CellTalkDB	CellTalkDB
DKK1	LRP6	Cellinker	Cellinker
DKK1	LRP6	DIP	DIP
DKK1	LRP6	ELM	ELM
DKK1	LRP6	EMBRACE	EMBRACE
DKK1	LRP6	Fantom5_LRdb	Fantom5_LRdb
DKK1	LRP6	HPMR_Cellinker	HPMR_Cellinker
DKK1	LRP6	HPMR_LRdb	HPMR_LRdb
DKK1	LRP6	HPMR_talklr	HPMR_talklr
DKK1	LRP6	HPRD	HPRD
DKK1	LRP6	HPRD_LRdb	HPRD_LRdb
DKK1	LRP6	HPRD_talklr	HPRD_talklr
DKK1	LRP6	IntAct	IntAct
DKK1	LRP6	LMPID	LMPID
DKK1	LRP6	LRdb	LRdb
DKK1	LRP6	NetPath	NetPath
DKK1	LRP6	Ramilowski2015	Ramilowski2015
DKK1	LRP6	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
DKK1	LRP6	SIGNOR	SIGNOR
DKK1	LRP6	SPIKE	SPIKE
DKK1	LRP6	STRING_talklr	STRING_talklr
DKK1	LRP6	SignaLink3	SignaLink3
DKK1	LRP6	Wang	Wang
DKK1	LRP6	connectomeDB2020	connectomeDB2020
DKK1	LRP6	iTALK	iTALK
DKK1	LRP6	talklr	talklr
DKK1	LRP5	AlzPathway	AlzPathway
DKK1	LRP5	Baccin2019	Baccin2019
DKK1	LRP5	CancerCellMap	CancerCellMap
DKK1	LRP5	CellCall	CellCall
DKK1	LRP5	CellTalkDB	CellTalkDB
DKK1	LRP5	Cellinker	Cellinker
DKK1	LRP5	EMBRACE	EMBRACE
DKK1	LRP5	Fantom5_LRdb	Fantom5_LRdb
DKK1	LRP5	HPRD	HPRD
DKK1	LRP5	HPRD_LRdb	HPRD_LRdb
DKK1	LRP5	HPRD_talklr	HPRD_talklr
DKK1	LRP5	LRdb	LRdb
DKK1	LRP5	NetPath	NetPath
DKK1	LRP5	Ramilowski2015	Ramilowski2015
DKK1	LRP5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
DKK1	LRP5	SPIKE	SPIKE
DKK1	LRP5	STRING_talklr	STRING_talklr
DKK1	LRP5	Wang	Wang
DKK1	LRP5	connectomeDB2020	connectomeDB2020
DKK1	LRP5	iTALK	iTALK
DKK1	LRP5	talklr	talklr
WNT5A	FZD5	Baccin2019	Baccin2019
WNT5A	FZD5	CellCall	CellCall
WNT5A	FZD5	CellChatDB	CellChatDB
WNT5A	FZD5	CellPhoneDB	CellPhoneDB
WNT5A	FZD5	CellPhoneDB_Cellinker	CellPhoneDB_Cellinker
WNT5A	FZD5	CellTalkDB	CellTalkDB
WNT5A	FZD5	Cellinker	Cellinker
WNT5A	FZD5	EMBRACE	EMBRACE
WNT5A	FZD5	Fantom5_LRdb	Fantom5_LRdb
WNT5A	FZD5	HPRD	HPRD
WNT5A	FZD5	HPRD_LRdb	HPRD_LRdb
WNT5A	FZD5	HPRD_talklr	HPRD_talklr
WNT5A	FZD5	ICELLNET	ICELLNET
WNT5A	FZD5	LRdb	LRdb
WNT5A	FZD5	Ramilowski2015	Ramilowski2015
WNT5A	FZD5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
WNT5A	FZD5	SIGNOR	SIGNOR
WNT5A	FZD5	SPIKE	SPIKE
WNT5A	FZD5	STRING_talklr	STRING_talklr
WNT5A	FZD5	SignaLink3	SignaLink3
WNT5A	FZD5	Wang	Wang
WNT5A	FZD5	connectomeDB2020	connectomeDB2020
WNT5A	FZD5	iTALK	iTALK
WNT5A	FZD5	talklr	talklr
CXCL10	CXCR3	Baccin2019	Baccin2019
CXCL10	CXCR3	CellCall	CellCall
CXCL10	CXCR3	CellChatDB	CellChatDB
CXCL10	CXCR3	CellPhoneDB	CellPhoneDB
CXCL10	CXCR3	CellPhoneDB_Cellinker	CellPhoneDB_Cellinker
CXCL10	CXCR3	CellTalkDB	CellTalkDB
CXCL10	CXCR3	Cellinker	Cellinker
CXCL10	CXCR3	DIP	DIP
CXCL10	CXCR3	DLRP_Cellinker	DLRP_Cellinker
CXCL10	CXCR3	DLRP_talklr	DLRP_talklr
CXCL10	CXCR3	EMBRACE	EMBRACE
CXCL10	CXCR3	Fantom5_LRdb	Fantom5_LRdb
CXCL10	CXCR3	Guide2Pharma	Guide2Pharma
CXCL10	CXCR3	Guide2Pharma_Cellinker	Guide2Pharma_Cellinker
CXCL10	CXCR3	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CXCL10	CXCR3	Guide2Pharma_talklr	Guide2Pharma_talklr
CXCL10	CXCR3	HPMR	HPMR
CXCL10	CXCR3	HPMR_Cellinker	HPMR_Cellinker
CXCL10	CXCR3	HPMR_LRdb	HPMR_LRdb
CXCL10	CXCR3	HPMR_talklr	HPMR_talklr
CXCL10	CXCR3	HPRD	HPRD
CXCL10	CXCR3	HPRD_LRdb	HPRD_LRdb
CXCL10	CXCR3	HPRD_talklr	HPRD_talklr
CXCL10	CXCR3	ICELLNET	ICELLNET
CXCL10	CXCR3	KEGG-MEDICUS	KEGG-MEDICUS
CXCL10	CXCR3	Kirouac2010	Kirouac2010
CXCL10	CXCR3	LRdb	LRdb
CXCL10	CXCR3	Ramilowski2015	Ramilowski2015
CXCL10	CXCR3	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CXCL10	CXCR3	SIGNOR	SIGNOR
CXCL10	CXCR3	SPIKE	SPIKE
CXCL10	CXCR3	STRING_talklr	STRING_talklr
CXCL10	CXCR3	UniProt_LRdb	UniProt_LRdb
CXCL10	CXCR3	Wang	Wang
CXCL10	CXCR3	connectomeDB2020	connectomeDB2020
CXCL10	CXCR3	iTALK	iTALK
CXCL10	CXCR3	scConnect	scConnect
CXCL10	CXCR3	talklr	talklr
TP53	TNFRSF10D	LRdb	LRdb
TP53	TNFRSF10D	SPIKE	SPIKE
TP53	TNFRSF10D	Wang	Wang
TNFSF9	TNFRSF9	CellChatDB	CellChatDB
TNFSF9	TNFRSF9	CellPhoneDB	CellPhoneDB
TNFSF9	TNFRSF9	CellTalkDB	CellTalkDB
TNFSF9	TNFRSF9	Cellinker	Cellinker
TNFSF9	TNFRSF9	DIP	DIP
TNFSF9	TNFRSF9	DLRP_talklr	DLRP_talklr
TNFSF9	TNFRSF9	Fantom5_LRdb	Fantom5_LRdb
TNFSF9	TNFRSF9	Guide2Pharma	Guide2Pharma
TNFSF9	TNFRSF9	Guide2Pharma_LRdb	Guide2Pharma_LRdb
TNFSF9	TNFRSF9	Guide2Pharma_talklr	Guide2Pharma_talklr
TNFSF9	TNFRSF9	HPMR	HPMR
TNFSF9	TNFRSF9	HPMR_LRdb	HPMR_LRdb
TNFSF9	TNFRSF9	HPMR_talklr	HPMR_talklr
TNFSF9	TNFRSF9	HPRD	HPRD
TNFSF9	TNFRSF9	HPRD_LRdb	HPRD_LRdb
TNFSF9	TNFRSF9	HPRD_talklr	HPRD_talklr
TNFSF9	TNFRSF9	ICELLNET	ICELLNET
TNFSF9	TNFRSF9	LRdb	LRdb
TNFSF9	TNFRSF9	Ramilowski2015	Ramilowski2015
TNFSF9	TNFRSF9	SPIKE	SPIKE
TNFSF9	TNFRSF9	STRING_talklr	STRING_talklr
TNFSF9	TNFRSF9	UniProt_LRdb	UniProt_LRdb
TNFSF9	TNFRSF9	Wang	Wang
TNFSF9	TNFRSF9	Wojtowicz2020	Wojtowicz2020
TNFSF9	TNFRSF9	connectomeDB2020	connectomeDB2020
TNFSF9	TNFRSF9	iTALK	iTALK
TNFSF9	TNFRSF9	scConnect	scConnect
TNFSF9	TNFRSF9	talklr	talklr
TNFSF10	TNFRSF10D	CellPhoneDB	CellPhoneDB
TNFSF10	TNFRSF10D	CellTalkDB	CellTalkDB
TNFSF10	TNFRSF10D	Cellinker	Cellinker
TNFSF10	TNFRSF10D	DIP	DIP
TNFSF10	TNFRSF10D	DLRP_Cellinker	DLRP_Cellinker
TNFSF10	TNFRSF10D	DLRP_talklr	DLRP_talklr
TNFSF10	TNFRSF10D	Fantom5_LRdb	Fantom5_LRdb
TNFSF10	TNFRSF10D	HPMR	HPMR
TNFSF10	TNFRSF10D	HPMR_Cellinker	HPMR_Cellinker
TNFSF10	TNFRSF10D	HPMR_LRdb	HPMR_LRdb
TNFSF10	TNFRSF10D	HPMR_talklr	HPMR_talklr
TNFSF10	TNFRSF10D	HPRD	HPRD
TNFSF10	TNFRSF10D	HPRD_LRdb	HPRD_LRdb
TNFSF10	TNFRSF10D	HPRD_talklr	HPRD_talklr
TNFSF10	TNFRSF10D	ICELLNET	ICELLNET
TNFSF10	TNFRSF10D	KEGG-MEDICUS	KEGG-MEDICUS
TNFSF10	TNFRSF10D	LRdb	LRdb
TNFSF10	TNFRSF10D	Lit-BM-17	Lit-BM-17
TNFSF10	TNFRSF10D	Ramilowski2015	Ramilowski2015
TNFSF10	TNFRSF10D	SPIKE	SPIKE
TNFSF10	TNFRSF10D	STRING_talklr	STRING_talklr
TNFSF10	TNFRSF10D	UniProt_LRdb	UniProt_LRdb
TNFSF10	TNFRSF10D	Wang	Wang
TNFSF10	TNFRSF10D	connectomeDB2020	connectomeDB2020
TNFSF10	TNFRSF10D	iTALK	iTALK
TNFSF10	TNFRSF10D	talklr	talklr
TNFSF10	TNFRSF10B	BioGRID	BioGRID
TNFSF10	TNFRSF10B	CellCall	CellCall
TNFSF10	TNFRSF10B	CellPhoneDB	CellPhoneDB
TNFSF10	TNFRSF10B	CellTalkDB	CellTalkDB
TNFSF10	TNFRSF10B	Cellinker	Cellinker
TNFSF10	TNFRSF10B	DLRP_Cellinker	DLRP_Cellinker
TNFSF10	TNFRSF10B	DLRP_talklr	DLRP_talklr
TNFSF10	TNFRSF10B	Fantom5_LRdb	Fantom5_LRdb
TNFSF10	TNFRSF10B	Guide2Pharma	Guide2Pharma
TNFSF10	TNFRSF10B	Guide2Pharma_Cellinker	Guide2Pharma_Cellinker
TNFSF10	TNFRSF10B	Guide2Pharma_LRdb	Guide2Pharma_LRdb
TNFSF10	TNFRSF10B	Guide2Pharma_talklr	Guide2Pharma_talklr
TNFSF10	TNFRSF10B	HPMR	HPMR
TNFSF10	TNFRSF10B	HPMR_Cellinker	HPMR_Cellinker
TNFSF10	TNFRSF10B	HPMR_LRdb	HPMR_LRdb
TNFSF10	TNFRSF10B	HPMR_talklr	HPMR_talklr
TNFSF10	TNFRSF10B	HPRD	HPRD
TNFSF10	TNFRSF10B	HPRD_LRdb	HPRD_LRdb
TNFSF10	TNFRSF10B	HPRD_talklr	HPRD_talklr
TNFSF10	TNFRSF10B	ICELLNET	ICELLNET
TNFSF10	TNFRSF10B	InnateDB	InnateDB
TNFSF10	TNFRSF10B	IntAct	IntAct
TNFSF10	TNFRSF10B	KEGG-MEDICUS	KEGG-MEDICUS
TNFSF10	TNFRSF10B	LRdb	LRdb
TNFSF10	TNFRSF10B	Lit-BM-17	Lit-BM-17
TNFSF10	TNFRSF10B	Macrophage	Macrophage
TNFSF10	TNFRSF10B	Ramilowski2015	Ramilowski2015
TNFSF10	TNFRSF10B	SIGNOR	SIGNOR
TNFSF10	TNFRSF10B	SPIKE	SPIKE
TNFSF10	TNFRSF10B	STRING_talklr	STRING_talklr
TNFSF10	TNFRSF10B	UniProt_LRdb	UniProt_LRdb
TNFSF10	TNFRSF10B	Wang	Wang
TNFSF10	TNFRSF10B	connectomeDB2020	connectomeDB2020
TNFSF10	TNFRSF10B	iTALK	iTALK
TNFSF10	TNFRSF10B	scConnect	scConnect
TNFSF10	TNFRSF10B	talklr	talklr
FADD	TRADD	BioGRID	BioGRID
FADD	TRADD	CellTalkDB	CellTalkDB
FADD	TRADD	DIP	DIP
FADD	TRADD	HPRD	HPRD
FADD	TRADD	HuRI	HuRI
FADD	TRADD	InnateDB	InnateDB
FADD	TRADD	IntAct	IntAct
FADD	TRADD	KEGG-MEDICUS	KEGG-MEDICUS
FADD	TRADD	Lit-BM-17	Lit-BM-17
FADD	TRADD	Macrophage	Macrophage
FADD	TRADD	NetPath	NetPath
FADD	TRADD	Wang	Wang
