from	to	source	database
CXCL16	CXCR6	SPIKE	SPIKE
CXCL16	CXCR6	SPIKE_ICELLNET	SPIKE_ICELLNET
CXCL16	CXCR6	Wang	Wang
CXCL16	CXCR6	iTALK	iTALK
CCL3L1	CCR5	Baccin2019	Baccin2019
CCL3L1	CCR5	BioGRID	BioGRID
CCL3L1	CCR5	Fantom5_LRdb	Fantom5_LRdb
CCL3L1	CCR5	HPRD	HPRD
CCL3L1	CCR5	HPRD_LRdb	HPRD_LRdb
CCL3L1	CCR5	ICELLNET	ICELLNET
CCL3L1	CCR5	LRdb	LRdb
CCL3L1	CCR5	Ramilowski2015	Ramilowski2015
CCL3L1	CCR5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CCL3L1	CCR5	Ramilowski2015_ICELLNET	Ramilowski2015_ICELLNET
CCL3L1	CCR5	SPIKE	SPIKE
CCL3L1	CCR5	SPIKE_ICELLNET	SPIKE_ICELLNET
CCL3L1	CCR5	Wang	Wang
CCL3L1	CCR5	iTALK	iTALK
TNFSF10	TNFRSF10C	CellPhoneDB	CellPhoneDB
TNFSF10	TNFRSF10C	Fantom5_LRdb	Fantom5_LRdb
TNFSF10	TNFRSF10C	HPMR	HPMR
TNFSF10	TNFRSF10C	HPMR_LRdb	HPMR_LRdb
TNFSF10	TNFRSF10C	HPRD	HPRD
TNFSF10	TNFRSF10C	HPRD_LRdb	HPRD_LRdb
TNFSF10	TNFRSF10C	ICELLNET	ICELLNET
TNFSF10	TNFRSF10C	LRdb	LRdb
TNFSF10	TNFRSF10C	Lit-BM-17	Lit-BM-17
TNFSF10	TNFRSF10C	Ramilowski2015	Ramilowski2015
TNFSF10	TNFRSF10C	SPIKE	SPIKE
TNFSF10	TNFRSF10C	UniProt_LRdb	UniProt_LRdb
TNFSF10	TNFRSF10C	Wang	Wang
TNFSF10	TNFRSF10C	iTALK	iTALK
IL10	IL10RA	Baccin2019	Baccin2019
IL10	IL10RA	BioGRID	BioGRID
IL10	IL10RA	DIP	DIP
IL10	IL10RA	EMBRACE	EMBRACE
IL10	IL10RA	Fantom5_LRdb	Fantom5_LRdb
IL10	IL10RA	Guide2Pharma	Guide2Pharma
IL10	IL10RA	HPMR_LRdb	HPMR_LRdb
IL10	IL10RA	HPRD	HPRD
IL10	IL10RA	HPRD_LRdb	HPRD_LRdb
IL10	IL10RA	InnateDB	InnateDB
IL10	IL10RA	IntAct	IntAct
IL10	IL10RA	Kirouac2010	Kirouac2010
IL10	IL10RA	LRdb	LRdb
IL10	IL10RA	Lit-BM-17	Lit-BM-17
IL10	IL10RA	Ramilowski2015	Ramilowski2015
IL10	IL10RA	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
IL10	IL10RA	SIGNOR	SIGNOR
IL10	IL10RA	SPIKE	SPIKE
IL10	IL10RA	SignaLink3	SignaLink3
IL10	IL10RA	UniProt_LRdb	UniProt_LRdb
IL10	IL10RA	Wang	Wang
IL10	IL10RA	iTALK	iTALK
IFNG	IFNGR1	Baccin2019	Baccin2019
IFNG	IFNGR1	BioGRID	BioGRID
IFNG	IFNGR1	DIP	DIP
IFNG	IFNGR1	Fantom5_LRdb	Fantom5_LRdb
IFNG	IFNGR1	Guide2Pharma	Guide2Pharma
IFNG	IFNGR1	HPMR	HPMR
IFNG	IFNGR1	HPMR_LRdb	HPMR_LRdb
IFNG	IFNGR1	HPRD	HPRD
IFNG	IFNGR1	HPRD_LRdb	HPRD_LRdb
IFNG	IFNGR1	InnateDB	InnateDB
IFNG	IFNGR1	IntAct	IntAct
IFNG	IFNGR1	LRdb	LRdb
IFNG	IFNGR1	Lit-BM-17	Lit-BM-17
IFNG	IFNGR1	Macrophage	Macrophage
IFNG	IFNGR1	Ramilowski2015	Ramilowski2015
IFNG	IFNGR1	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
IFNG	IFNGR1	Reactome_SignaLink3	Reactome_SignaLink3
IFNG	IFNGR1	SIGNOR	SIGNOR
IFNG	IFNGR1	SPIKE	SPIKE
IFNG	IFNGR1	SignaLink3	SignaLink3
IFNG	IFNGR1	UniProt_LRdb	UniProt_LRdb
IFNG	IFNGR1	Wang	Wang
IFNG	IFNGR1	iTALK	iTALK
IGF2	IGF2R	Baccin2019	Baccin2019
IGF2	IGF2R	CellPhoneDB	CellPhoneDB
IGF2	IGF2R	DIP	DIP
IGF2	IGF2R	DOMINO	DOMINO
IGF2	IGF2R	EMBRACE	EMBRACE
IGF2	IGF2R	Fantom5_LRdb	Fantom5_LRdb
IGF2	IGF2R	HPMR	HPMR
IGF2	IGF2R	HPMR_LRdb	HPMR_LRdb
IGF2	IGF2R	HPRD	HPRD
IGF2	IGF2R	HPRD_LRdb	HPRD_LRdb
IGF2	IGF2R	LRdb	LRdb
IGF2	IGF2R	Lit-BM-17	Lit-BM-17
IGF2	IGF2R	Ramilowski2015	Ramilowski2015
IGF2	IGF2R	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
IGF2	IGF2R	SIGNOR	SIGNOR
IGF2	IGF2R	SPIKE	SPIKE
IGF2	IGF2R	UniProt_LRdb	UniProt_LRdb
IGF2	IGF2R	Wang	Wang
IGF2	IGF2R	iTALK	iTALK
FLT3LG	FLT3	Baccin2019	Baccin2019
FLT3LG	FLT3	CellPhoneDB	CellPhoneDB
FLT3LG	FLT3	Fantom5_LRdb	Fantom5_LRdb
FLT3LG	FLT3	Guide2Pharma	Guide2Pharma
FLT3LG	FLT3	Guide2Pharma_LRdb	Guide2Pharma_LRdb
FLT3LG	FLT3	HPMR	HPMR
FLT3LG	FLT3	HPMR_LRdb	HPMR_LRdb
FLT3LG	FLT3	HPRD	HPRD
FLT3LG	FLT3	HPRD_LRdb	HPRD_LRdb
FLT3LG	FLT3	ICELLNET	ICELLNET
FLT3LG	FLT3	KEGG-MEDICUS	KEGG-MEDICUS
FLT3LG	FLT3	Kirouac2010	Kirouac2010
FLT3LG	FLT3	LRdb	LRdb
FLT3LG	FLT3	Ramilowski2015	Ramilowski2015
FLT3LG	FLT3	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
FLT3LG	FLT3	SIGNOR	SIGNOR
FLT3LG	FLT3	SPIKE	SPIKE
FLT3LG	FLT3	Wang	Wang
FLT3LG	FLT3	iTALK	iTALK
CXCL9	CXCR3	BioGRID	BioGRID
CXCL9	CXCR3	CellPhoneDB	CellPhoneDB
CXCL9	CXCR3	DIP	DIP
CXCL9	CXCR3	Fantom5_LRdb	Fantom5_LRdb
CXCL9	CXCR3	Guide2Pharma	Guide2Pharma
CXCL9	CXCR3	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CXCL9	CXCR3	HPMR_LRdb	HPMR_LRdb
CXCL9	CXCR3	HPRD	HPRD
CXCL9	CXCR3	HPRD_LRdb	HPRD_LRdb
CXCL9	CXCR3	ICELLNET	ICELLNET
CXCL9	CXCR3	Kirouac2010	Kirouac2010
CXCL9	CXCR3	LRdb	LRdb
CXCL9	CXCR3	Ramilowski2015	Ramilowski2015
CXCL9	CXCR3	SIGNOR	SIGNOR
CXCL9	CXCR3	SPIKE	SPIKE
CXCL9	CXCR3	UniProt_LRdb	UniProt_LRdb
CXCL9	CXCR3	Wang	Wang
CXCL9	CXCR3	iTALK	iTALK
CCL5	CCR5	Baccin2019	Baccin2019
CCL5	CCR5	BioGRID	BioGRID
CCL5	CCR5	CellPhoneDB	CellPhoneDB
CCL5	CCR5	DIP	DIP
CCL5	CCR5	Fantom5_LRdb	Fantom5_LRdb
CCL5	CCR5	Guide2Pharma	Guide2Pharma
CCL5	CCR5	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CCL5	CCR5	HPMR_LRdb	HPMR_LRdb
CCL5	CCR5	HPRD	HPRD
CCL5	CCR5	HPRD_LRdb	HPRD_LRdb
CCL5	CCR5	ICELLNET	ICELLNET
CCL5	CCR5	InnateDB	InnateDB
CCL5	CCR5	IntAct	IntAct
CCL5	CCR5	KEGG-MEDICUS	KEGG-MEDICUS
CCL5	CCR5	LRdb	LRdb
CCL5	CCR5	Lit-BM-17	Lit-BM-17
CCL5	CCR5	ProtMapper	ProtMapper
CCL5	CCR5	REACH_ProtMapper	REACH_ProtMapper
CCL5	CCR5	Ramilowski2015	Ramilowski2015
CCL5	CCR5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CCL5	CCR5	SPIKE	SPIKE
CCL5	CCR5	Wang	Wang
CCL5	CCR5	iTALK	iTALK
CCL8	CCR5	CellPhoneDB	CellPhoneDB
CCL8	CCR5	CellPhoneDB_ICELLNET	CellPhoneDB_ICELLNET
CCL8	CCR5	DIP	DIP
CCL8	CCR5	Fantom5_LRdb	Fantom5_LRdb
CCL8	CCR5	GO-lig-rec_ICELLNET	GO-lig-rec_ICELLNET
CCL8	CCR5	Guide2Pharma	Guide2Pharma
CCL8	CCR5	Guide2Pharma_ICELLNET	Guide2Pharma_ICELLNET
CCL8	CCR5	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CCL8	CCR5	HPMR_LRdb	HPMR_LRdb
CCL8	CCR5	HPRD	HPRD
CCL8	CCR5	HPRD_LRdb	HPRD_LRdb
CCL8	CCR5	ICELLNET	ICELLNET
CCL8	CCR5	InnateDB	InnateDB
CCL8	CCR5	LRdb	LRdb
CCL8	CCR5	Ramilowski2015	Ramilowski2015
CCL8	CCR5	Ramilowski2015_ICELLNET	Ramilowski2015_ICELLNET
CCL8	CCR5	SPIKE	SPIKE
CCL8	CCR5	SPIKE_ICELLNET	SPIKE_ICELLNET
CCL8	CCR5	Wang	Wang
CCL8	CCR5	iTALK	iTALK
CCL4	CCR5	Baccin2019	Baccin2019
CCL4	CCR5	CellPhoneDB	CellPhoneDB
CCL4	CCR5	DIP	DIP
CCL4	CCR5	Fantom5_LRdb	Fantom5_LRdb
CCL4	CCR5	Guide2Pharma	Guide2Pharma
CCL4	CCR5	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CCL4	CCR5	HPMR_LRdb	HPMR_LRdb
CCL4	CCR5	HPRD	HPRD
CCL4	CCR5	HPRD_LRdb	HPRD_LRdb
CCL4	CCR5	ICELLNET	ICELLNET
CCL4	CCR5	InnateDB	InnateDB
CCL4	CCR5	Kirouac2010	Kirouac2010
CCL4	CCR5	LRdb	LRdb
CCL4	CCR5	Lit-BM-17	Lit-BM-17
CCL4	CCR5	Ramilowski2015	Ramilowski2015
CCL4	CCR5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CCL4	CCR5	SPIKE	SPIKE
CCL4	CCR5	Wang	Wang
CCL4	CCR5	iTALK	iTALK
IL6	IL6ST	Baccin2019	Baccin2019
IL6	IL6ST	DIP	DIP
IL6	IL6ST	EMBRACE	EMBRACE
IL6	IL6ST	Fantom5_LRdb	Fantom5_LRdb
IL6	IL6ST	Guide2Pharma	Guide2Pharma
IL6	IL6ST	HPMR	HPMR
IL6	IL6ST	HPMR_LRdb	HPMR_LRdb
IL6	IL6ST	HPRD	HPRD
IL6	IL6ST	HPRD_LRdb	HPRD_LRdb
IL6	IL6ST	InnateDB	InnateDB
IL6	IL6ST	LRdb	LRdb
IL6	IL6ST	Lit-BM-17	Lit-BM-17
IL6	IL6ST	NetPath	NetPath
IL6	IL6ST	Ramilowski2015	Ramilowski2015
IL6	IL6ST	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
IL6	IL6ST	SIGNOR	SIGNOR
IL6	IL6ST	SPIKE	SPIKE
IL6	IL6ST	UniProt_LRdb	UniProt_LRdb
IL6	IL6ST	Wang	Wang
IL6	IL6ST	iTALK	iTALK
DKK1	LRP6	Baccin2019	Baccin2019
DKK1	LRP6	CancerCellMap	CancerCellMap
DKK1	LRP6	DIP	DIP
DKK1	LRP6	ELM	ELM
DKK1	LRP6	EMBRACE	EMBRACE
DKK1	LRP6	Fantom5_LRdb	Fantom5_LRdb
DKK1	LRP6	HPMR_LRdb	HPMR_LRdb
DKK1	LRP6	HPRD	HPRD
DKK1	LRP6	HPRD_LRdb	HPRD_LRdb
DKK1	LRP6	IntAct	IntAct
DKK1	LRP6	LMPID	LMPID
DKK1	LRP6	LRdb	LRdb
DKK1	LRP6	NetPath	NetPath
DKK1	LRP6	Ramilowski2015	Ramilowski2015
DKK1	LRP6	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
DKK1	LRP6	SIGNOR	SIGNOR
DKK1	LRP6	SPIKE	SPIKE
DKK1	LRP6	SignaLink3	SignaLink3
DKK1	LRP6	Wang	Wang
DKK1	LRP6	iTALK	iTALK
DKK1	LRP5	AlzPathway	AlzPathway
DKK1	LRP5	Baccin2019	Baccin2019
DKK1	LRP5	CancerCellMap	CancerCellMap
DKK1	LRP5	EMBRACE	EMBRACE
DKK1	LRP5	Fantom5_LRdb	Fantom5_LRdb
DKK1	LRP5	HPRD	HPRD
DKK1	LRP5	HPRD_LRdb	HPRD_LRdb
DKK1	LRP5	LRdb	LRdb
DKK1	LRP5	NetPath	NetPath
DKK1	LRP5	Ramilowski2015	Ramilowski2015
DKK1	LRP5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
DKK1	LRP5	SPIKE	SPIKE
DKK1	LRP5	Wang	Wang
DKK1	LRP5	iTALK	iTALK
WNT5A	FZD5	Baccin2019	Baccin2019
WNT5A	FZD5	CellPhoneDB	CellPhoneDB
WNT5A	FZD5	EMBRACE	EMBRACE
WNT5A	FZD5	Fantom5_LRdb	Fantom5_LRdb
WNT5A	FZD5	HPRD	HPRD
WNT5A	FZD5	HPRD_LRdb	HPRD_LRdb
WNT5A	FZD5	ICELLNET	ICELLNET
WNT5A	FZD5	LRdb	LRdb
WNT5A	FZD5	Ramilowski2015	Ramilowski2015
WNT5A	FZD5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
WNT5A	FZD5	SIGNOR	SIGNOR
WNT5A	FZD5	SPIKE	SPIKE
WNT5A	FZD5	SignaLink3	SignaLink3
WNT5A	FZD5	Wang	Wang
WNT5A	FZD5	iTALK	iTALK
NGF	NTRK1	AlzPathway	AlzPathway
NGF	NTRK1	Baccin2019	Baccin2019
NGF	NTRK1	BioGRID	BioGRID
NGF	NTRK1	CA1	CA1
NGF	NTRK1	CellPhoneDB	CellPhoneDB
NGF	NTRK1	DIP	DIP
NGF	NTRK1	EMBRACE	EMBRACE
NGF	NTRK1	Fantom5_LRdb	Fantom5_LRdb
NGF	NTRK1	HPMR	HPMR
NGF	NTRK1	HPMR_LRdb	HPMR_LRdb
NGF	NTRK1	HPRD	HPRD
NGF	NTRK1	HPRD_LRdb	HPRD_LRdb
NGF	NTRK1	IntAct	IntAct
NGF	NTRK1	Kirouac2010	Kirouac2010
NGF	NTRK1	LRdb	LRdb
NGF	NTRK1	Lit-BM-17	Lit-BM-17
NGF	NTRK1	ProtMapper	ProtMapper
NGF	NTRK1	REACH_ProtMapper	REACH_ProtMapper
NGF	NTRK1	Ramilowski2015	Ramilowski2015
NGF	NTRK1	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
NGF	NTRK1	SIGNOR	SIGNOR
NGF	NTRK1	SPIKE	SPIKE
NGF	NTRK1	Sparser_ProtMapper	Sparser_ProtMapper
NGF	NTRK1	UniProt_LRdb	UniProt_LRdb
NGF	NTRK1	Wang	Wang
NGF	NTRK1	iTALK	iTALK
CXCL10	CXCR3	Baccin2019	Baccin2019
CXCL10	CXCR3	CellPhoneDB	CellPhoneDB
CXCL10	CXCR3	DIP	DIP
CXCL10	CXCR3	EMBRACE	EMBRACE
CXCL10	CXCR3	Fantom5_LRdb	Fantom5_LRdb
CXCL10	CXCR3	Guide2Pharma	Guide2Pharma
CXCL10	CXCR3	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CXCL10	CXCR3	HPMR	HPMR
CXCL10	CXCR3	HPMR_LRdb	HPMR_LRdb
CXCL10	CXCR3	HPRD	HPRD
CXCL10	CXCR3	HPRD_LRdb	HPRD_LRdb
CXCL10	CXCR3	ICELLNET	ICELLNET
CXCL10	CXCR3	Kirouac2010	Kirouac2010
CXCL10	CXCR3	LRdb	LRdb
CXCL10	CXCR3	Ramilowski2015	Ramilowski2015
CXCL10	CXCR3	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CXCL10	CXCR3	SIGNOR	SIGNOR
CXCL10	CXCR3	SPIKE	SPIKE
CXCL10	CXCR3	UniProt_LRdb	UniProt_LRdb
CXCL10	CXCR3	Wang	Wang
CXCL10	CXCR3	iTALK	iTALK
TP53	TNFRSF10D	LRdb	LRdb
TP53	TNFRSF10D	SPIKE	SPIKE
TP53	TNFRSF10D	Wang	Wang
CSF1	CSF1R	Baccin2019	Baccin2019
CSF1	CSF1R	CellPhoneDB	CellPhoneDB
CSF1	CSF1R	DIP	DIP
CSF1	CSF1R	EMBRACE	EMBRACE
CSF1	CSF1R	Fantom5_LRdb	Fantom5_LRdb
CSF1	CSF1R	Guide2Pharma	Guide2Pharma
CSF1	CSF1R	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CSF1	CSF1R	HPMR	HPMR
CSF1	CSF1R	HPMR_LRdb	HPMR_LRdb
CSF1	CSF1R	HPRD	HPRD
CSF1	CSF1R	HPRD_LRdb	HPRD_LRdb
CSF1	CSF1R	ICELLNET	ICELLNET
CSF1	CSF1R	IntAct	IntAct
CSF1	CSF1R	LRdb	LRdb
CSF1	CSF1R	Ramilowski2015	Ramilowski2015
CSF1	CSF1R	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CSF1	CSF1R	SIGNOR	SIGNOR
CSF1	CSF1R	SPIKE	SPIKE
CSF1	CSF1R	UniProt_LRdb	UniProt_LRdb
CSF1	CSF1R	Wang	Wang
CSF1	CSF1R	iTALK	iTALK
CSF3	CSF3R	Baccin2019	Baccin2019
CSF3	CSF3R	CellPhoneDB	CellPhoneDB
CSF3	CSF3R	DIP	DIP
CSF3	CSF3R	EMBRACE	EMBRACE
CSF3	CSF3R	Fantom5_LRdb	Fantom5_LRdb
CSF3	CSF3R	Guide2Pharma	Guide2Pharma
CSF3	CSF3R	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CSF3	CSF3R	HPRD	HPRD
CSF3	CSF3R	HPRD_LRdb	HPRD_LRdb
CSF3	CSF3R	ICELLNET	ICELLNET
CSF3	CSF3R	Kirouac2010	Kirouac2010
CSF3	CSF3R	LRdb	LRdb
CSF3	CSF3R	Ramilowski2015	Ramilowski2015
CSF3	CSF3R	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CSF3	CSF3R	SIGNOR	SIGNOR
CSF3	CSF3R	SPIKE	SPIKE
CSF3	CSF3R	SignaLink3	SignaLink3
CSF3	CSF3R	Wang	Wang
CSF3	CSF3R	iTALK	iTALK
CSF2	CSF2RA	ACSN_SignaLink3	ACSN_SignaLink3
CSF2	CSF2RA	Baccin2019	Baccin2019
CSF2	CSF2RA	DIP	DIP
CSF2	CSF2RA	Fantom5_LRdb	Fantom5_LRdb
CSF2	CSF2RA	Guide2Pharma	Guide2Pharma
CSF2	CSF2RA	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CSF2	CSF2RA	HPMR	HPMR
CSF2	CSF2RA	HPMR_LRdb	HPMR_LRdb
CSF2	CSF2RA	HPRD	HPRD
CSF2	CSF2RA	HPRD_LRdb	HPRD_LRdb
CSF2	CSF2RA	InnateDB	InnateDB
CSF2	CSF2RA	Kirouac2010	Kirouac2010
CSF2	CSF2RA	LRdb	LRdb
CSF2	CSF2RA	Lit-BM-17	Lit-BM-17
CSF2	CSF2RA	Ramilowski2015	Ramilowski2015
CSF2	CSF2RA	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CSF2	CSF2RA	SIGNOR	SIGNOR
CSF2	CSF2RA	SPIKE	SPIKE
CSF2	CSF2RA	SignaLink3	SignaLink3
CSF2	CSF2RA	UniProt_LRdb	UniProt_LRdb
CSF2	CSF2RA	Wang	Wang
CSF2	CSF2RA	iTALK	iTALK
HGF	MET	BEL-Large-Corpus_ProtMapper	BEL-Large-Corpus_ProtMapper
HGF	MET	BioGRID	BioGRID
HGF	MET	CellPhoneDB	CellPhoneDB
HGF	MET	DIP	DIP
HGF	MET	Fantom5_LRdb	Fantom5_LRdb
HGF	MET	Guide2Pharma	Guide2Pharma
HGF	MET	Guide2Pharma_LRdb	Guide2Pharma_LRdb
HGF	MET	HPMR_LRdb	HPMR_LRdb
HGF	MET	HPRD	HPRD
HGF	MET	HPRD_LRdb	HPRD_LRdb
HGF	MET	ICELLNET	ICELLNET
HGF	MET	IntAct	IntAct
HGF	MET	KEGG-MEDICUS	KEGG-MEDICUS
HGF	MET	LRdb	LRdb
HGF	MET	Lit-BM-17	Lit-BM-17
HGF	MET	ProtMapper	ProtMapper
HGF	MET	REACH_ProtMapper	REACH_ProtMapper
HGF	MET	Ramilowski2015	Ramilowski2015
HGF	MET	SIGNOR	SIGNOR
HGF	MET	SPIKE	SPIKE
HGF	MET	SignaLink3	SignaLink3
HGF	MET	Sparser_ProtMapper	Sparser_ProtMapper
HGF	MET	UniProt_LRdb	UniProt_LRdb
HGF	MET	Wang	Wang
HGF	MET	iTALK	iTALK
INS	INSR	Baccin2019	Baccin2019
INS	INSR	CellPhoneDB	CellPhoneDB
INS	INSR	DIP	DIP
INS	INSR	Fantom5_LRdb	Fantom5_LRdb
INS	INSR	Guide2Pharma	Guide2Pharma
INS	INSR	Guide2Pharma_LRdb	Guide2Pharma_LRdb
INS	INSR	HPMR_LRdb	HPMR_LRdb
INS	INSR	HPRD	HPRD
INS	INSR	HPRD_LRdb	HPRD_LRdb
INS	INSR	LRdb	LRdb
INS	INSR	ProtMapper	ProtMapper
INS	INSR	REACH_ProtMapper	REACH_ProtMapper
INS	INSR	Ramilowski2015	Ramilowski2015
INS	INSR	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
INS	INSR	SIGNOR	SIGNOR
INS	INSR	SPIKE	SPIKE
INS	INSR	SignaLink3	SignaLink3
INS	INSR	Sparser_ProtMapper	Sparser_ProtMapper
INS	INSR	UniProt_LRdb	UniProt_LRdb
INS	INSR	Wang	Wang
INS	INSR	iTALK	iTALK
TNFSF9	TNFRSF9	CellPhoneDB	CellPhoneDB
TNFSF9	TNFRSF9	CellPhoneDB_ICELLNET	CellPhoneDB_ICELLNET
TNFSF9	TNFRSF9	DIP	DIP
TNFSF9	TNFRSF9	Fantom5_LRdb	Fantom5_LRdb
TNFSF9	TNFRSF9	GO-lig-rec_ICELLNET	GO-lig-rec_ICELLNET
TNFSF9	TNFRSF9	Guide2Pharma	Guide2Pharma
TNFSF9	TNFRSF9	Guide2Pharma_LRdb	Guide2Pharma_LRdb
TNFSF9	TNFRSF9	HPMR	HPMR
TNFSF9	TNFRSF9	HPMR_ICELLNET	HPMR_ICELLNET
TNFSF9	TNFRSF9	HPMR_LRdb	HPMR_LRdb
TNFSF9	TNFRSF9	HPRD	HPRD
TNFSF9	TNFRSF9	HPRD_LRdb	HPRD_LRdb
TNFSF9	TNFRSF9	ICELLNET	ICELLNET
TNFSF9	TNFRSF9	LRdb	LRdb
TNFSF9	TNFRSF9	Ramilowski2015	Ramilowski2015
TNFSF9	TNFRSF9	Ramilowski2015_ICELLNET	Ramilowski2015_ICELLNET
TNFSF9	TNFRSF9	SPIKE	SPIKE
TNFSF9	TNFRSF9	SPIKE_ICELLNET	SPIKE_ICELLNET
TNFSF9	TNFRSF9	UniProt_LRdb	UniProt_LRdb
TNFSF9	TNFRSF9	Wang	Wang
TNFSF9	TNFRSF9	iTALK	iTALK
TNFSF10	TNFRSF10D	CellPhoneDB	CellPhoneDB
TNFSF10	TNFRSF10D	DIP	DIP
TNFSF10	TNFRSF10D	Fantom5_LRdb	Fantom5_LRdb
TNFSF10	TNFRSF10D	HPMR	HPMR
TNFSF10	TNFRSF10D	HPMR_LRdb	HPMR_LRdb
TNFSF10	TNFRSF10D	HPRD	HPRD
TNFSF10	TNFRSF10D	HPRD_LRdb	HPRD_LRdb
TNFSF10	TNFRSF10D	ICELLNET	ICELLNET
TNFSF10	TNFRSF10D	LRdb	LRdb
TNFSF10	TNFRSF10D	Lit-BM-17	Lit-BM-17
TNFSF10	TNFRSF10D	Ramilowski2015	Ramilowski2015
TNFSF10	TNFRSF10D	SPIKE	SPIKE
TNFSF10	TNFRSF10D	UniProt_LRdb	UniProt_LRdb
TNFSF10	TNFRSF10D	Wang	Wang
TNFSF10	TNFRSF10D	iTALK	iTALK
TNFSF10	TNFRSF10B	BioGRID	BioGRID
TNFSF10	TNFRSF10B	CellPhoneDB	CellPhoneDB
TNFSF10	TNFRSF10B	Fantom5_LRdb	Fantom5_LRdb
TNFSF10	TNFRSF10B	Guide2Pharma	Guide2Pharma
TNFSF10	TNFRSF10B	Guide2Pharma_LRdb	Guide2Pharma_LRdb
TNFSF10	TNFRSF10B	HPMR	HPMR
TNFSF10	TNFRSF10B	HPMR_LRdb	HPMR_LRdb
TNFSF10	TNFRSF10B	HPRD	HPRD
TNFSF10	TNFRSF10B	HPRD_LRdb	HPRD_LRdb
TNFSF10	TNFRSF10B	ICELLNET	ICELLNET
TNFSF10	TNFRSF10B	InnateDB	InnateDB
TNFSF10	TNFRSF10B	IntAct	IntAct
TNFSF10	TNFRSF10B	LRdb	LRdb
TNFSF10	TNFRSF10B	Lit-BM-17	Lit-BM-17
TNFSF10	TNFRSF10B	Macrophage	Macrophage
TNFSF10	TNFRSF10B	Ramilowski2015	Ramilowski2015
TNFSF10	TNFRSF10B	SIGNOR	SIGNOR
TNFSF10	TNFRSF10B	SPIKE	SPIKE
