	B cell_healthy	CTL_healthy	MC_healthy	MoD-Ma_healthy	moDC_healthy	NKT_healthy	NKT-p_healthy	nrMa_healthy	pDC_healthy	rMa_healthy	Treg_healthy
TNFRSF18	0	0	0.206338726	0.493973523	0	0	0.924801121	0	0	0	0.791257301
TNFRSF4	0	0	1.843206688	1.412575496	0	0	0	0.020064487	0	0.021348363	0
SDF4	0.125081303	0.800459523	0.506790999	0.42462845	18.69158879	0	0.119675575	0.437222963	1.059322034	0.467947482	0.961994788
B3GALT6	0.176085467	0.088345742	0	0	0	0	0.04137446	0.062499223	0	0	0.262544773
FAM132A	0	0.04525706	0	0	0	0	0	0	0	0	0.054976772
UBE2J2	0.203571668	0.323522674	0.224537453	0.163988193	0	0	1.365729664	0.071555327	1.397428731	0.636779669	0.458129489
SCNN1D	0	0	0	0	0	0	0	0.020820191	0	0	0
ACAP3	0.11192944	0.217925643	0.449074906	0	0	0	0.086999265	0.750794236	0	0	0.279207705
PUSL1	0	0.107827478	0.206338726	0.327976386	0	0	0.628403125	0.024565256	0	0	0.091414915
CPSF3L	0.11223214	0.335467523	0.623285964	0.163988193	0	0	0.764511271	0.084527175	0	0.309146284	0.089903803
GLTPD1	0	0.063419584	0	0	0	0	0.043499632	0	0	0	0.144485234
TAS1R3	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	0.094732853	0	0.212314225	0	0	0.359060116	0.032231344	0	0.046155266	0.046142488
MXRA8	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	0.678931111	0.600199349	1.054162142	0.212314225	0	4.830917874	2.066545511	2.674198175	0	2.10710574	1.531131831
CCNL2	0.448352387	1.216399774	1.035963415	0.212314225	0	0	0.050951	0.424297926	1.588983051	0.34924485	0.806474392
RP4-758J18.2	0.242925601	0.238475743	0	0	0	4.078303426	0	0	0	0	0.121850901
MRPL20	0.630299428	0.717766787	0.861752357	1.575065373	0	0	2.425124365	1.227857146	0	1.926414898	1.028112683
RP4-758J18.13	0.049972016	0	0	0	0	0	0	0	0	0	0.045861041
ANKRD65	0	0	0	0.219490781	0	0	0.645671431	0.272131058	0	0.793545697	0
RP4-758J18.10	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0.009325983	0	0	0	0
ATAD3C	0	0	0	0	0	0	0	0	0	0.587889477	0.215061748
ATAD3B	0.037045269	0.058126017	0	0.706287748	0	0	0	0.123826427	0.529661017	0	0
ATAD3A	0.189709762	0.069618491	0	0	0	0	0.194546963	0.68098729	0	0.088851991	0.250357208
SSU72	0.724725956	1.36677608	0	0.163988193	0	0	0.555206157	0.519187736	0	2.051740131	1.087359319
AL645728.1	0.064156027	0	0	0	0	0	0	0	0	0	0
C1orf233	0	0	0.506790999	0	0	0	0	0	0	0	0
RP11-345P4.9	0	0.272636163	0	0	0	0	0	0.022586314	0	0.120510966	0.082935932
MIB2	0.139289766	0.199630374	0	0	0	0	0.078301116	0.057757563	0	0	0.559347911
MMP23B	0	0	0	0	0	0	0	0	1.397428731	0	0
CDK11B	0.283380232	0.40238445	0	0.713464304	0	0	0.096325248	0.042650801	0	0.153706374	0.482156266
RP11-345P4.10	0	0	0	0	0	0	0	0	0	0	0
SLC35E2B	0.340768754	0.192956676	0	0.42462845	0	0	0.487133217	0.251941735	4.192286193	0	0.357949298
RP11-345P4.7	0	0	0	0	0	0	0	0	0	0	0
CDK11A	0.943203692	1.317772184	0.412677451	0	0	0	0.043499632	0.228151026	2.794857462	0.152017641	2.052420135
SLC35E2	0.064156027	0	0	0	0	0	0	0.044893378	0	0	0.046142488
NADK	0.256501649	0.124342535	0	0	0	0	0.052825616	0.583076749	0	0	0.177843543
GNB1	1.531110071	0.964590736	2.230295713	0.602969756	0	0	0.147904083	2.441900816	0.529661017	1.080990416	1.608596248
RP1-140A9.1	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0	0	0
C1orf222	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	0	0.10451505	0	0	0	0	0.0254755	0	0	0.019540028	0.170010724
RP5-892K4.1	0.18821758	0	0	0	0	0	0	0	0	0	0
RP11-181G12.2	0	0	0	0	0	0	0	0	0	0	0.087427872
C1orf86	0.326655245	0.338175106	0.713129725	1.794045526	0	0	1.157247672	0.431400176	0	1.394211516	0.750082205
AL590822.2	0.071469411	0	0	0	0	0	0	0	0	0	0
AL590822.1	0	0	0	0	0	0	0	0	0	0	0
SKI	0.30273877	0.876312643	0.412677451	0.636942675	0	0	0.050951	0.286699554	0	0	1.277999731
MORN1	0.046653541	0.085616438	0	0	0	0	0	0	0	0	0
RER1	0.39434964	1.635041087	2.085942868	0	0	0	1.138530483	0.596523526	0.529661017	0.929898714	1.430299279
PEX10	0.13829577	0.107149678	0	0	0	0	0	0.024565256	0	0.048890193	0.045272427
PLCH2	0.172601274	0.090171326	0	0	0	0	0	0	0	0	0
PANK4	0	0.165917364	0	0	0	0	0	0.020064487	0	0	0.106849022
HES5	0	0	0	0	0	0	0	0	0	0	0
RP3-395M20.12	0.367610875	0.14048688	0	0	0	0	0	0.515879056	0	0.911311458	0.144880575
TNFRSF14	0.50517917	0.611256294	1.74909314	0	0	0	0.259098526	0.324081961	0	0.135132293	1.177501155
RP3-395M20.9	0	0	0	0	0	0	0	0	0	0	0
FAM213B	0.141731003	0.069618491	0	0	0	0	0	0	0	0	0
MMEL1	0	0	0	0	0	0	0	0	0	0	0
TTC34	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0.517959248	0	0	0	0
RP11-168F9.2	0	0	0	0	0	0	0	0	0	0	0
MEGF6	0	0.056753689	0	0	0	0	0.043499632	0	0	0	0
RP11-46F15.2	0	0.04326008	0	0	0	0	0	0	0	0	0
TPRG1L	0.121313985	0.140682518	0.430876178	0.219490781	0	0	0.084874092	0.123213775	0	0.095747993	0.234171474
WRAP73	0.198119937	0.355320566	0.224537453	0	0	0	0.113738301	0	0	0.046155266	0.577484951
TP73	0.027963424	0	0	0	0	0	0	0	0	0	0.096070708
TP73-AS1	0.132169417	0.088621056	0	0	0	0	0	0.054817657	0	0	0.092003529
SMIM1	0	0	0.224537453	0	0	0	0.034801483	0.043406504	0	0	0
LRRC47	0.18821758	0.060812454	0	0	0	0	0	0	0.529661017	0.037432154	0.651044875
CEP104	0.166880363	0.47657111	0.713129725	0	0	0	0.05345345	0.278713833	0	0.037432154	0.438173099
DFFB	0.066298929	0	0	0	0	0	0.04137446	0	0	0.293685756	0.114658124
C1orf174	0.393342851	0.295224842	0	0.493973523	0	0	0.043499632	0.141686558	0	0	0.54278503
LINC01134	0	0	0	0	0	0	0	0	0	0	0
NPHP4	0.076049097	0.068756876	0	0	0	0	0	0	0	0	0
KCNAB2	0.317525189	0.625648809	0	0	0	0	0	0.17065951	0	0.086322347	0.583436725
RPL22	18.42141637	8.821782028	18.19478849	29.04696302	0	40.46780308	25.73473745	9.483650318	15.69827619	30.70802812	14.67785076
RP1-120G22.11	0	0	0	0	0	0	0	0	0	0	0
RNF207	0	0	0	0	0	0	0.237988692	0	0	0	0.082935932
ICMT	0.236407645	0.102394474	0	0	0	0	0	0.020820191	0	0	0.215219475
LINC00337	0	0	0	0	0	0	0	0	0	0	0
GPR153	0	0	0	0	0	0	0	0	0	0	0
ACOT7	0	0.045085663	1.386742084	0	0	4.078303426	0.052825616	0.020820191	0	0.019540028	0
RP1-202O8.3	0	0.063419584	0	0	0	0	0	0	0	0	0
HES2	0	0	0	0	0	0	0.275595976	0	0	0	0
ESPN	0	0.085616438	0	0	0	0	0.133938736	0	0	0	0.074521201
TNFRSF25	0	0.317518289	0	0	0	0	0	0	0	0	1.70122345
PLEKHG5	0	0	0	0	0	0	0	0	0	0	0
NOL9	0.545765638	0.477003245	0	0	0	0	0.88459017	0	0	0	0.721847889
ZBTB48	0	0.062034739	0	0	0	0	0.268895391	0.189120679	0	0	0.083493362
KLHL21	0	0.068756876	0	0	0	0	0.009325983	0.044893378	0	0.021348363	0.046142488
PHF13	0	0.056753689	0	0	0	0	0	0	0	0	0
THAP3	0.081024145	0	0	0	0	0	0	0.101300497	0	0.019540028	0.133288913
DNAJC11	0.049972016	0.15437096	0	0.219490781	0	0	0.185385868	0.024565256	0	0	0.082385896
RP11-242F24.1	0	0	0	0	0	0	0	0	0	0	0
RP11-312B8.1	0	0	0	0	0	0	0	0	0	0	0
CAMTA1	0.459014625	0.249155165	0.430876178	1.810407583	0	0	2.094802759	0.736284636	0	0.926250017	0.545967287
VAMP3	0.150567645	0.236581106	0	0.42462845	0	0	0.32003301	0.121754466	0	0.113179289	0.343178778
PER3	0.104685733	0.620998836	0.937667178	0	0	0	0.684335658	0.066205638	0	0.620732464	0.14314343
RP3-467L1.4	0	0	0.224537453	0	0	0	0	0	0	0	0
TNFRSF9	0	0.07118451	0	0.42462845	0	0	0	0	0	0	0.507567368
PARK7	1.249274482	1.880366493	2.090125557	0.759781392	0	0	3.477102175	1.192374821	1.059322034	3.26902856	1.73297549
ERRFI1	0	0.107805088	0	0.212314225	0	0	0.02797795	0.511425125	0	0	0
SLC45A1	0	0	0	0	0	0	0	0	0	0	0
RERE	0.789087946	0.295948324	1.386742084	0.713464304	0	0	1.794288825	0.30599872	1.927089748	0.11185056	0.207648606
RP5-1115A15.1	0	0	0	0	0	0	0	0	0	0	0
ENO1	1.555135988	2.229251247	3.881092616	2.327670209	0	0	5.483222544	2.707619947	0.529661017	4.743488919	0.974983756
ENO1-AS1	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	0	0	0	0	0	0	0	0	0	0	0
GPR157	0	0.107149678	0	3.552457781	0	0	0.009325983	0.086813008	0	0.091830926	0
RP3-510D11.1	0	0	0	0	0	0	0	0	0	0	0
RP3-510D11.2	0	0	0	0	0	0	0	0	0	0	0
H6PD	0.246825534	0.572539929	0.449074906	0	0	0	0.126876386	0.065713569	0	0.114626318	0.254741592
SPSB1	0	0.063419584	0	0	0	0	0.085760351	0.077337726	0	0	0.045272427
SLC25A33	0.15130933	0	0.430876178	0.212314225	0	0	0.043499632	0.089432374	1.059322034	0.048890193	0.134380377
TMEM201	0	0	0.206338726	0	0	0	0	0	1.397428731	0	0.065500753
PIK3CD	0.377735742	0.882148342	0	0	0	0	0	0.110809097	0	0.216223294	1.397982597
C1orf200	0	0	0	0	0	0	0	0	0	0	0
RP11-558F24.4	0	0	0	0	0	0	0	0	0	0	0
CLSTN1	0.071469411	0.313640639	0	0	0	0	1.166099007	0.134695749	0.529661017	0	0.18315179
CTNNBIP1	0.187978537	0.10447479	0	0	0	0	0.872311639	0.20102981	0	0	0.166482277
LZIC	0	0.357662545	0.206338726	0	0	0	1.053634268	0.121103782	0	0.048890193	0.539245303
NMNAT1	0	0	0	0	0	0	0.009325983	0.080480306	0	0	0
RBP7	0	0	0	0	0	0	0.698194005	0.236508242	0	0	0
UBE4B	0.323603976	0.427043513	0.713129725	0	0	0	0.228662709	0.149150496	0	0	0.422290696
KIF1B	0.316679254	0	0.224537453	0.376302418	0	0	0.018651966	0.655794579	1.397428731	0	0.13409893
PGD	0.099944031	0.351793574	0.430876178	0	0	0	0.262237684	0.416942186	0.529661017	0.429187769	0.106849022
APITD1	0	0	0	0	0	0	1.31336468	0	0	0	0
DFFA	0.193696191	0.672541689	0.919468451	0	0	0	0	0.037812187	0	0.048890193	0.129497974
PEX14	0.053785996	0.046702783	0	0	0	0	0.271020564	0.022586314	0	0	0.045861041
CASZ1	0.18821758	0.061124694	0	0	0	0	0.587190412	0	2.456750765	0.021348363	0.051797369
RP4-734G22.3	0	0	0	0	0	0	0	0	0	0	0
TARDBP	0.317846547	1.051570642	1.47110938	0.163988193	0	0	0.921819521	0.316653506	1.059322034	0.338974264	1.667406648
RP4-635E18.8	0.162652136	0	0.206338726	0	0	0	0	0	0	0	0.256755984
SRM	0.467457146	0.503062073	0.829624689	0	0	4.078303426	0.842848561	0.187377729	0	0.54848549	0.471555774
EXOSC10	0.47248803	0.343694052	1.125807176	0.163988193	0	0	0.54140386	0.160960613	1.059322034	0.058315839	0.654754437
RP4-635E18.7	0	0	0.224537453	0	0	0	0.394664141	0	0	0	0
RP4-635E18.6	0	0	0	0	0	0	0	0	0	0	0
MTOR	0.488534037	0.209406765	0	0	0	0	0	0.292195546	0	0	0.773137924
UBIAD1	0	0.240681925	0	0	0	0	0	0.077337726	0	0	0.114132077
FBXO2	0	0.337098909	0	0	0	0	0.230189208	0	0	0.178539547	0.092003529
FBXO44	0.25000048	0.650477662	0	0	0	0	0	0.020064487	0	0	0.367176276
FBXO6	0.07793544	0.250523104	0	0	0	0	0.308234711	0.170332783	0	0.126123712	0.225668647
MAD2L2	0.21176588	0.360056237	0	0.376302418	0	0	1.185892445	0.126497303	0.529661017	0.310489162	0.367836751
DRAXIN	0	0	0	0	0	0	0	0	0	0	0
AGTRAP	0.091642229	0.178304912	0.430876178	0.163988193	0	0	0.533677438	0.509905559	0	0.037432154	0
C1orf167	0	0	0	0	0	0	0	0	0	0	0
MTHFR	0.135625439	0.063889599	0.224537453	0.71145536	0	0	0	0.580753444	0	0.067503629	0.500284691
CLCN6	0.279863774	0.125628141	0	0.163988193	0	0	0	0.083928996	0	0.046155266	0.082935932
NPPA-AS1	0	0	0	0	0	0	0	0	0	0	0.074521201
KIAA2013	0.45760197	0.280836171	0.224537453	0	0	0	0.253852004	0.200789734	1.397428731	0.116393822	0.484291049
PLOD1	0.046653541	0	0	0	0	0	0	0.250216066	0	0	0
MFN2	0.087017285	0.26897792	0.506790999	0	0	0	0.159104681	0.107846019	0	0	0.38838339
MIIP	0.331161712	0	0.430876178	0.493973523	18.69158879	0	0.043499632	0.173537221	0	0.019540028	0.314090653
TNFRSF8	0.049972016	0	0	0	0	0	0	0.062377443	0	0	0
TNFRSF1B	0.985310382	0.828606701	0	0.930946141	0	0	0	4.561950962	1.397428731	0.056972182	0.831635836
VPS13D	0.417267398	0.447218336	0.206338726	0.212314225	0	0	0.340408149	0.121996534	0.529661017	0	0.858545631
DHRS3	0	0.495869787	0	0.163988193	0	0	0.04137446	0.722402907	0	0.132477613	0.52316684
RP11-474O21.5	0	0	0	0	0	0	0	0	0	0	0
C1orf158	0.104685733	0	0	0	0	0	0	0	0	0	0
PDPN	0	0	0	0	0	0	0	0	0	0	0
PRDM2	3.324109477	1.053647008	0.430876178	0	0	0	0.087627099	0.507068088	1.927089748	0.306042708	0.713284455
KAZN	0	0.055273049	0.224537453	0	0	0	0.141886236	0	0	0	0
TMEM51	0	0	0	0.163988193	0	0	0	0.0603985	0	0	0
FHAD1	0	0	0	0	0	0	0.018651966	0	0	0	0
RP3-467K16.2	0	0	0	0	0	0	0	0	0	0	0
RP3-467K16.4	0	0	0	0	0	0	0	0	0	0	0.076578474
EFHD2	0.579728721	0.907605814	0.224537453	3.779287154	0	4.078303426	1.419305479	3.357403002	1.397428731	3.7648013	0.653255889
CTRC	0	0	0	0	0	0	0	0	0	0	0
CASP9	0.064156027	0.088621056	0	0	0	0	0	0.175088358	0	0.048890193	0.106849022
DNAJC16	0.049972016	0.134393441	0	0	0	0	0	0.113121401	0	0.178539547	0.382963139
AGMAT	0.23167205	0	0.224537453	0	0	0	0	0	0	0	0.082935932
RP4-680D5.2	0	0	0	0	0	0	0.009325983	0	0	0	0
DDI2	0.87242225	0.211006203	0	0.163988193	0	0	0.141721347	0.118292493	0	0.019540028	0.054976772
PLEKHM2	0.311190946	0.282740441	0	0	0	0	0.212239852	0.158733674	0	0.160781585	0.16886345
RP11-288I21.1	0	0	0	0	0	0	0	0	0	0	0
SLC25A34	0	0	0	0	0	0	0	0	0	0	0
FBLIM1	0.154432518	0.04326008	0	0	0	0	0	0	0	0	0.197625439
RP11-169K16.9	0.074616965	0.086520159	0.449074906	0.212314225	0	0	0.0254755	0.182972073	1.397428731	0	0.14314343
SPEN	1.547772767	1.631173284	0	1.514395172	0	0	0.314029278	0.611600963	0.529661017	0.35996134	1.563280241
ZBTB17	0	0.206424473	0	0	0	0	0	0.722651312	0	0.021348363	0.280529988
CLCNKB	0	0	0	0	0	0	0	0	0	0	0
FAM131C	0	0	0	0	0	0	0	0	0	0	0
EPHA2	0	0	0	0	0	0	0.765571296	0.690989497	0	0.021348363	0
RP11-276H7.2	0	0	0	0	0	0	0	0	0	0	0
RP11-276H7.3	0	0	0	0	0	0	0	0	0	0	0
ARHGEF19	0.046653541	0	0	0	0	0	0	0	0	0	0
C1orf134	0	0	0	0	0	0	0	0	0	0	0
RSG1	0	0	0	0	0	0	0	0	0	0	0
FBXO42	0.07838342	0.410176513	0.206338726	0.376302418	0	0	0.0254755	0.062377443	1.397428731	0.019540028	0.491755982
SZRD1	0.560773038	0.852552423	0.224537453	0.376302418	0	4.078303426	0.561973985	0.702909487	0	0.021348363	0.691902862
SPATA21	0	0	0.206338726	0	0	0	0	0	0	0	0
NECAP2	0.437951521	0.215025181	0.430876178	0	0	0	0.778446961	0.804119251	0	1.764855504	0.384915552
RP4-798A10.2	0	0	0	0	0	0	0	0.439869799	0	0	0
RP4-798A10.7	0.18821758	0	0.224537453	0	0	0	0	0	1.397428731	0	0
NBPF1	0	0.044859142	0.224537453	0	0	0	0.043499632	0.044893378	0	0.019540028	0
CROCCP2	0.252373607	0.489536384	0.224537453	0	0	0	0	0.385971354	0	0	0.216224845
CROCC	0	0.231901755	0	0	0	0	0.04137446	0	0	0	0.267649634
RP11-108M9.4	0	0	0	0	0	0	0.02797795	0.088036248	0	0.095045459	0.051797369
RP11-108M9.6	0.179041404	0	0	0	0	0	0	0	0	0	0.127377242
ATP13A2	0.287650414	0.14977211	0.430876178	0	0	0	0.060276984	0	0	0	0.096070708
SDHB	0.512271324	0.17154775	0.224537453	1.426928609	0	0	1.83921111	0.979843145	0	0.287167639	0.195456296
PADI2	0	0	0	0	0	0	0	0.090770894	0	0	0
RP11-380J14.1	0	0	0	0	0	0	0	0	0	0	0
PADI1	0	0	0	0	0	0	0.141721347	0	0	0	0.074521201
PADI3	0	0	0	0	0	0	0.050700443	0	0	0	0
PADI4	0	0	0	0	0	0	0	0	0	0	0
RCC2	1.196194493	0.542731459	1.180403358	1.473245697	0	0	1.497897128	0.31407081	0	0.1174006	0.682667812
ARHGEF10L	0	0	0	0	0	0	0.0254755	1.541977599	0	0	0
PAX7	0	0	0	0	0	0	0.54140386	0	0	0	0
ALDH4A1	0	0	0	0	0	0	0.009325983	0.059363739	0	0.037432154	0
IFFO2	0	0.056753689	0	0	0	0	0.0254755	0	0	0	0
UBR4	0.718609367	0.680516702	1.068091083	0.932955086	0	0	0.689998416	0.75877913	0	0.019540028	0.391394939
RP1-43E13.2	0	0	0	0	0	0	0	0	0	0	0.087535014
EMC1	0.269241725	0.869582709	0.731328452	0	0	0	0.101400886	0	0	0.092310533	0.566027676
MRTO4	0.211946403	0.502757316	0	0	0	0	0.050700443	0.232567775	0	0.293685756	0.097939857
AKR7A3	0	0	0	0	0	0	0	0	0	0	0
AKR7A2	0.127677687	0.100151742	0	0	0	0	0.537440061	0.098517469	0	0.93999313	0.27104017
PQLC2	0.037045269	0.04525706	0	0	0	0	0	0.020064487	0	0	0.045861041
CAPZB	3.390176368	2.924445488	2.202437832	1.128907254	0	4.078303426	1.211665949	4.24011044	0.529661017	1.872343667	1.548886969
MINOS1-NBL1	0	0	0	0	0	0	0	0	0	0	0
MINOS1	1.285773535	1.438957757	2.665441679	1.473245697	0	0	3.004288307	1.385706146	0	2.131817675	0.914185214
NBL1	0	0.156767593	0	0	0	0	0.05345345	0	0	0	0.209174524
TMCO4	0.353968204	0.235334215	0.206338726	0	0	0	0.218942943	0.022586314	0	0	0.098624193
OTUD3	0.037045269	0.2520857	0	0	0	0	0	0	0	0	0.479534807
PLA2G2A	0	0	0	0	0	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0	0	0	0	0	0
UBXN10-AS1	0	0	0.224537453	0	0	0	0	0.020820191	0	0	0.049862877
UBXN10	0	0	0	0	0	0	0	0	0	0	0
CAMK2N1	0	0	0.506790999	0	0	0	0	2.00340579	0	0	0
MUL1	0.139892864	0.11958129	0	0.219490781	0	0	0	0.160960613	0	0.021348363	0.065500753
FAM43B	0	0	0	0	0	0	0	0	0	0	0
CDA	0	0	0	0	0	0	0	0.197492361	0	0	0
PINK1	0.071469411	0.153900945	0.449074906	0	0	0	0.310941838	0	0	0	0.083493362
PINK1-AS	0	0	0	0	0	0	0	0	0	0	0
DDOST	0.304377177	0.45691724	2.578717829	0	0	0	0.505413865	0.233045535	0	2.116619849	0.501111293
HP1BP3	0.954742382	1.849720501	2.255884139	0.219490781	0	4.078303426	0.900929241	0.772577505	1.588983051	0.502760283	2.037305224
RP5-930J4.4	0	0	0	0.219490781	0	0	0	0	0	0	0
EIF4G3	0.799620058	0.786516275	1.677448106	0.219490781	0	0	0.044127467	0.406499592	1.397428731	0.092310533	0.727090871
ECE1	0.327324585	0.168416494	0.412677451	1.700423663	0	0	0.535724266	0.130919066	0	0.101012564	0.15299151
RP5-1071N3.1	0	0.056753689	0	0	0	0	0	0	0	0	0
NBPF3	0	0	0	0	0	0	0	0.080480306	0	0	0.068797083
ALPL	0	0	0	0	0	0	0.04137446	0	0	0	0
RP11-63N8.3	0	0	0	0	0	0	0	0	0	0	0
RAP1GAP	0	0	0	0	0	0	0.009325983	0	0	0	0
USP48	1.709559137	1.019980906	1.709575773	0.219490781	0	0	0.147276248	0.354453708	1.397428731	0.046155266	0.735719198
HSPG2	0	0	0.937667178	0	0	0	0.550729843	0	0	0	0
LINC00339	0	0	0.713129725	0	0	0	0	0	0	0.114626318	0.046142488
CDC42	3.398362139	3.15825136	2.60657571	2.870480392	18.69158879	4.078303426	3.825746311	5.923404171	0	4.517223131	3.003242993
RP1-224A6.9	0	0	0	0	0	0	0	0.071555327	0	0	0
WNT4	0	0	0	0	0	0	0.009325983	0	0	0	0
ZBTB40	0.411013027	0.569780824	0.224537453	0	0	0	0	0	0	0	0.208644183
C1QA	0	0	0	0	18.69158879	0	0	1.967837962	0	1.098297639	0
C1QC	0	0	0	0	18.69158879	0	0	0.045172627	0	1.098297639	0
C1QB	0	0	0	0	0	0	0	0.975209382	0	1.544554455	0
EPHB2	0	0	0	0	0	0	0.009325983	0.056082733	0	0	0
KDM1A	0.126021113	0.363423393	0	0	0	0	1.064718174	0.112165466	1.397428731	0	0.505665691
LUZP1	0.027963424	0.427721125	0.673612359	0.595793199	0	0	0.0254755	0.517691848	1.059322034	0.080128879	0.353473801
RP5-1057J7.6	0.364243446	0.272084342	0.506790999	0	0	0	0	0	0	0	0
HNRNPR	1.688017698	1.661428444	0.623285964	0.766957948	0	0	4.175252277	0.447934301	1.059322034	0.193308168	1.939572999
ZNF436	0.076049097	0.062034739	0	0	0	0	0	0	0	0	0
C1orf213	0	0	0	0	0	0	0	0	0	0	0.087535014
TCEA3	0	0	0	0	0	0	0.204549667	0	0	0.021348363	0
ASAP3	0	0	0	0	0	0	0.141886236	0	0	0	0
E2F2	0	0	0	0.212314225	0	0	0.009325983	0	0	0	0
ID3	1.548797882	0.436935193	0	0	0	0	0	0.776272375	0	0.821342968	0.570393128
RPL11	47.49506948	23.9749248	40.81391485	47.88449058	93.45794393	103.5849666	42.44369578	25.20795909	18.87624229	66.59320501	28.58140879
TCEB3	0.287303698	0.137118697	0.430876178	0	0	0	0.253744427	0.265038932	0	0.315034119	0.294976919
RP5-886K2.3	0	0	0	0	0	0	0.009325983	0	0	0	0
PITHD1	0.293001555	0.149243916	1.556683355	0	0	0	0.062151599	0.061704868	0	0.339276155	0.581197805
LYPLA2	0.712546804	0.759676358	0.206338726	0.493973523	0	0	0.052825616	0.061704868	0	0.058315839	0.317912074
GALE	0.046653541	0	0	0.163988193	0	0	0.270001521	0	0	0.058780517	0.131001507
HMGCL	0	0.100948751	0	0	0	0	0.186764352	0.142019744	0	0.037432154	0.12907842
FUCA1	0	0.137542473	0.919468451	0	0	0	0.018651966	0.837354974	0	0	0.131001507
CNR2	0.113071009	0	0	0	0	0	0	0	0	0	0
PNRC2	0	0	0	0	0	0	0	0	0	0	0
SRSF10	1.152070471	1.502015703	0.206338726	0.493973523	0	0	0.619704976	0.292498167	2.456750765	0.130565348	1.216710905
MYOM3	0	0	0	0	0	0	0	0	0	0	0
IL22RA1	0	0	0	0	0	0	0	0	0	0	0
IFNLR1	0.104012521	0.158277936	0	0	0	0	0	0	0.529661017	0	0.083493362
GRHL3	0	0	0	0	0	0	0.218942943	0	0	0	0
STPG1	0.11192944	0	0	0	0	0	0	0	0	0	0.051797369
NIPAL3	0.393895644	0.598320071	0.430876178	0	0	0	0.151047331	0.041640381	0	0	0.65793575
RCAN3	0.118794689	1.170714311	0	0	0	0	0.319723443	0.089988906	0	0.019540028	0.794258469
RP4-594I10.3	0	0.094126506	0	0.493973523	0	0	0.04137446	0	0	0	0
NCMAP	0	0	0	0	0	0	0	0	0	0	0
SRRM1	2.637254992	3.382371109	1.466839593	2.650478982	0	0	3.154570927	3.076809723	2.118644068	1.151690071	3.366101451
