p_val	avg_logFC	pct.1	pct.2	p_val_adj
S100A6	1.84427756370849e-138	0.869013674646605	0.995	0.994	4.96553291252874e-134
CEACAM5	2.49394602083344e-135	1.16411793375686	0.926	0.483	6.71470026649196e-131
WFDC2	2.43779640419016e-134	1.00580335244683	0.991	0.985	6.56352303864159e-130
ATP5I	5.26867971509104e-134	0.744199764513709	0.951	0.868	1.41853932649111e-129
CLDN7	1.38095403369414e-133	0.71223662499378	0.979	0.944	3.71808064031811e-129
TP63	1.26273074228468e-128	-0.591388226884825	0.044	0.273	3.39977625052727e-124
ARPC3	3.1041461039544e-127	0.742686173417657	0.949	0.901	8.35760297028682e-123
TMEM258	3.16960076407298e-127	0.799271567647275	0.923	0.732	8.53383309719008e-123
ISG20	6.41030226529141e-127	0.80164721188642	0.804	0.344	1.72590978190706e-122
PLA2G10	1.60275446825318e-125	0.670705854563519	0.832	0.41	4.31525613032485e-121
TSPAN8	2.55880267645949e-124	1.16934031693405	0.759	0.313	6.88932032609954e-120
NDUFB1	6.34010781111671e-124	0.704090527350579	0.931	0.787	1.70701062706506e-119
POMP	7.11095476005326e-124	0.745578246212879	0.945	0.817	1.91455345959674e-119
CBR1	9.42517902733106e-124	0.847578252937072	0.908	0.669	2.53763520131861e-119
GNG5	2.17054196604332e-123	0.754855198856163	0.938	0.852	5.84396718937504e-119
STARD10	5.00220079911558e-123	0.695346057815424	0.941	0.72	1.34679254315388e-118
PPDPF	5.97963766943523e-122	0.788703596680593	0.967	0.968	1.60995764611874e-117
ATP12A	2.61947561660208e-121	1.11940323304104	0.674	0.203	7.05267615013945e-117
COX7A2	2.54368918808812e-120	0.827812111784646	0.941	0.899	6.84862877000846e-116
MIF	3.25999737161383e-120	0.815871448587793	0.892	0.725	8.77721692333307e-116
PI3	1.14501520427505e-118	1.15746682319868	0.933	0.639	3.08283893599015e-114
COX6A1	3.31911200180599e-118	0.719410411592905	0.956	0.897	8.93637715366245e-114
MSN	1.07220750753791e-116	-0.352397037858416	0.045	0.263	2.88681149329506e-112
BPIFB1	4.51331434220026e-116	2.07844721255148	0.836	0.528	1.215164753494e-111
MT-ND5	5.04440429328038e-115	-0.903159364323461	0.79	0.985	1.35815541192281e-110
LYPD6B	2.42516344165066e-114	0.618020546002092	0.868	0.517	6.52951005030023e-110
FAM3D	3.37073459851451e-114	0.837583696014865	0.964	0.839	9.07536583304046e-110
TXN	7.84304413660612e-114	1.00639921932475	0.963	0.956	2.11166120333983e-109
USMG5	2.70900284687996e-112	0.748178220030765	0.925	0.8	7.29371926493961e-108
PET100	4.45381201604707e-112	0.622310474417862	0.917	0.73	1.19914434720051e-107
SLIRP	3.19358330756475e-111	0.63197353952745	0.916	0.746	8.59840369728732e-107
NDUFA13	1.17328688805894e-110	0.671380462925535	0.919	0.763	3.15895761740988e-106
ZG16B	6.13643079631493e-110	0.870357195240992	0.851	0.476	1.65217262759983e-105
C19orf10	7.03621627390717e-110	0.749374594121808	0.888	0.613	1.89443086958677e-105
HLA-C	8.54812903364189e-110	0.767235021237966	0.981	0.97	2.30149826101774e-105
PSME2	1.18308554398321e-109	0.885637005028671	0.93	0.817	3.1853395186204e-105
UQCR10	7.96139472046516e-107	0.684760375498754	0.933	0.834	2.14352591453804e-102
DST	8.50846675571156e-107	-1.91406693198783	0.326	0.603	2.29081958930778e-102
PSMB9	1.58536525355504e-106	0.87027363513681	0.875	0.63	4.2684374086716e-102
DSTN	1.74071485346086e-106	0.616880079796064	0.969	0.907	4.68670067145802e-102
CXCL17	1.89222615155371e-106	0.806124091417649	0.972	0.918	5.09462969044321e-102
COX16	1.20532131802867e-105	0.592604605895379	0.915	0.738	3.2452071166604e-101
JTB	5.96318556035172e-105	0.640255083776125	0.921	0.775	1.6055280802691e-100
MRPL33	1.30931203694599e-104	0.571038746811297	0.908	0.669	3.52519172827339e-100
CYBA	2.00825685389545e-104	0.761759622651323	0.937	0.903	5.4070307534281e-100
LY6D	8.29392140797716e-104	1.6965007355468	0.802	0.49	2.23305539988377e-99
KRTCAP2	1.32449958554674e-103	0.612110027022388	0.914	0.708	3.56608268412603e-99
CLCA2	3.55831830491051e-103	-0.594244126455825	0.058	0.279	9.58041620414107e-99
SMIM14	4.95000444526396e-103	0.69092865125399	0.927	0.737	1.33273919684287e-98
UQCR11.1	1.04070877650862e-102	0.713483401247675	0.904	0.813	2.8020043098718e-98
CEACAM6	1.13840632359415e-102	0.885872600691337	0.847	0.413	3.0650451856449e-98
GSTK1	4.78934097544745e-102	0.65730647442454	0.955	0.896	1.28948216422947e-97
SEC61B	6.05558332038948e-102	0.726323794733857	0.936	0.845	1.63040525318166e-97
DSP	2.01716431319609e-101	-1.09688306747417	0.885	0.928	5.43101319684914e-97
DEFB1	2.77291724740368e-101	0.719285457498076	0.726	0.272	7.46580239690966e-97
SLC9A3R2	6.66976676546768e-101	0.675989330772244	0.871	0.544	1.79576800393452e-96
COX6C	9.89845052491211e-101	0.601479864409815	0.963	0.941	2.66505881932734e-96
TMSB4X	2.78090483578718e-100	0.832461318659462	0.969	0.969	7.4873081798734e-96
MDK	3.99519362557259e-100	0.849426548302084	0.961	0.868	1.07566593174916e-95
LAMTOR5	4.24556123099601e-100	0.68551339036703	0.94	0.834	1.14307490583337e-95
ANG	8.55081314658395e-100	0.492710289955871	0.606	0.156	2.30222093158626e-95
RPS29	1.23410449653972e-99	0.751722788627883	0.959	0.949	3.32270294648354e-95
SCGB2A1	1.682508009095e-99	0.67446352114331	0.729	0.303	4.52998456368737e-95
OAS1	1.79678917435972e-99	0.770567313886993	0.878	0.508	4.83767517304612e-95
TRIM16	3.30374824399803e-99	0.532444877134814	0.788	0.39	8.89501177214031e-95
GCNT3	1.84107546117706e-98	0.476502946991542	0.607	0.146	4.95691157167313e-94
TCEB2	1.02141486080897e-97	0.655454409879312	0.935	0.907	2.75005737124207e-93
CRYM	1.48766188975715e-97	0.681676100196222	0.794	0.368	4.00538087198215e-93
BPIFA2	1.55254007998532e-97	0.608215204582028	0.624	0.175	4.18005891135249e-93
BST2	2.1538046688398e-97	0.759878050786387	0.885	0.624	5.79890369038428e-93
C15orf48	3.76344426629685e-97	1.40066056193682	0.813	0.423	1.01326973425776e-92
PDZK1IP1	4.74013394738721e-97	0.856643927319621	0.78	0.366	1.27623366399453e-92
CAPS	1.02108476099795e-96	-0.493090511346951	0.156	0.452	2.74916861051089e-92
PGD	4.13710843520578e-96	0.658126389378231	0.894	0.652	1.1138750750948e-91
B2M	7.69328507207341e-96	0.601962006591584	0.996	0.997	2.07134007280505e-91
VAMP5	8.66593975039764e-96	0.859146901640732	0.756	0.366	2.33321761839706e-91
XBP1	5.89933392347806e-95	0.804434405417139	0.97	0.89	1.58833666555723e-90
TSPAN13	5.96025883965e-95	0.642719951865552	0.933	0.751	1.60474008998737e-90
PRDX1	6.69996854269587e-95	0.735092551316371	0.984	0.977	1.80389953043544e-90
APLP2	1.36184967411856e-94	-0.626880128177832	0.951	0.948	3.6666440625968e-90
NSA2	4.24012401076748e-94	0.576400538856814	0.922	0.746	1.14161098865904e-89
ZFP36L1	5.20262056693174e-94	-0.993205668583178	0.924	0.927	1.4007535614407e-89
CXCL6	7.21546828632496e-94	1.14427463369341	0.602	0.17	1.94269268141013e-89
NDUFA3	1.32357812828716e-93	0.587115017523042	0.886	0.658	3.56360175260034e-89
BLOC1S1	1.54881864930902e-93	0.578512667667932	0.903	0.746	4.17003933139961e-89
TMEM160	2.83425718923386e-93	0.651956798446044	0.9	0.7	7.63095405629325e-89
GNPNAT1	2.89084439897815e-93	0.583195656914385	0.797	0.432	7.78330945980878e-89
UCP2	1.02533567598891e-92	0.502963936785515	0.72	0.289	2.76061377403255e-88
TFF1	2.11769724044894e-92	1.06890715193915	0.537	0.103	5.70168805018474e-88
PDE4C	5.20588560309972e-92	0.402316576634588	0.571	0.142	1.40163263977857e-87
HLA-B	1.41648157898843e-91	0.61930012667408	0.989	0.98	3.81373500326846e-87
MRPL14	2.21187344646203e-91	0.519607216152216	0.902	0.682	5.95524806725437e-87
EFHD2	3.71595481603858e-91	0.65885986234706	0.934	0.797	1.00048367467023e-86
TNC	5.76244146466728e-91	-0.593856700595597	0.069	0.29	1.55147973994702e-86
TMEM125	8.08755941760999e-91	0.388934770054336	0.722	0.279	2.17749449759731e-86
SNRPG	9.71805373695455e-91	0.586262945777353	0.908	0.763	2.61648878813764e-86
TFF3	1.66240030875905e-90	2.58029010289125	0.554	0.161	4.47584659130287e-86
RP11-1143G9.4	1.78955490882465e-90	0.331000226618197	0.458	0.045	4.81819763651949e-86
DYNLL1	2.38773375668018e-90	0.782253701140472	0.91	0.832	6.42873436648571e-86
LMTK3	2.69910712384637e-89	0.475850641366647	0.638	0.204	7.26707602024397e-85
MYL12B	3.14403134267627e-89	0.567674720524491	0.965	0.946	8.46498998702158e-85
AC110619.2	7.64275244553712e-89	0.350859012556377	0.503	0.086	2.05773466843641e-84
ATOX1	2.02985479408299e-88	0.583182623671183	0.91	0.701	5.46518104758904e-84
GLIPR2	3.86067594865249e-88	0.45219450649	0.745	0.334	1.0394483924152e-83
NANS	4.86492760262663e-88	0.576891222213237	0.907	0.677	1.30983310773119e-83
KCNE3	7.68408900942796e-88	0.599803973886997	0.821	0.418	2.06886412489838e-83
RAB37	1.48786696361506e-87	0.481406445532158	0.758	0.311	4.0059330128372e-83
ATP1A1	1.70115066930882e-87	-0.620949097063449	0.961	0.961	4.58017806204707e-83
S100A16	2.08766579542359e-87	0.692553095772899	0.941	0.842	5.62083138759847e-83
ATP6V1G1	3.09313623493292e-87	0.552893573628059	0.967	0.907	8.3279599989334e-83
MUC1	4.66644068304876e-87	0.710303516426447	0.981	0.925	1.25639248950405e-82
IER3IP1.1	6.63976130098376e-87	0.465758816106907	0.851	0.549	1.78768933267687e-82
C11orf31	1.08001907968106e-86	0.491277676941063	0.916	0.734	2.90784337013327e-82
RND3	1.459575554449e-86	0.647836400594962	0.901	0.608	3.92976122279849e-82
LINC00969	2.38833327905834e-86	-0.836801024637664	0.841	0.841	6.43034852053668e-82
SAT1	5.5354652770013e-86	0.647406932853219	0.999	0.98	1.49036867117983e-81
PSMB8	1.38254168253107e-85	0.633853919930061	0.922	0.817	3.72235522604664e-81
CXCL1	1.52434049053161e-85	1.82713992146459	0.615	0.221	4.10413433670731e-81
ATP1B3	3.08438410081298e-85	-1.02732276428393	0.876	0.903	8.30439575302887e-81
SELENBP1	5.74536308571007e-85	0.611885649870939	0.925	0.745	1.54688155719658e-80
MRPL52	6.27912067120941e-85	0.513726975694245	0.888	0.692	1.69059044951642e-80
GSN	1.5736189141273e-84	0.575804258787305	0.971	0.894	4.23681156439634e-80
MX1	1.78853033403553e-84	0.68285677519237	0.912	0.627	4.81543907135726e-80
GUK1	6.5991476140517e-84	0.557927534178139	0.928	0.852	1.77675450360728e-79
HLA-F	1.16910420034319e-83	0.559705696802624	0.923	0.689	3.147696149004e-79
POLR2L	1.21018718940208e-83	0.635592403748726	0.927	0.87	3.25830798874617e-79
MESP1	1.49596423174899e-83	0.624129774140321	0.776	0.423	4.02773409756097e-79
SCPEP1	1.68476025985814e-83	-0.895452711048235	0.737	0.803	4.53604852364206e-79
AZGP1	3.52840331066306e-83	0.458036009115859	0.673	0.218	9.49987307362922e-79
UQCRQ	3.99662364011371e-83	0.512770406107409	0.939	0.882	1.07605094886421e-78
HLA-DRB5	6.83635506271076e-83	0.705896525792462	0.789	0.376	1.84062023708424e-78
HEBP2	8.69651636274021e-83	0.535614676522189	0.968	0.903	2.34145006550418e-78
DNAJC15	1.69865296870586e-82	0.556120671341437	0.89	0.694	4.57345325294367e-78
VGLL1	1.95241626212521e-82	0.373194203638958	0.539	0.125	5.25668554414591e-78
RNF181	2.90073768353045e-82	0.495718692950859	0.872	0.62	7.80994613913738e-78
ERLEC1	3.1526108535786e-82	0.587474888336483	0.883	0.638	8.48808946217502e-78
BCAT1	7.94976932193149e-82	0.647223809522959	0.471	0.075	2.14039589223684e-77
AMN	8.21553438565839e-82	0.313490542440632	0.682	0.244	2.21195047799466e-77
APOD	2.55884352675961e-81	0.490022343583102	0.622	0.201	6.88943031144758e-77
C14orf2	3.73888887463564e-81	0.553058081955405	0.934	0.837	1.0066584406069e-76
MTRNR2L1	4.55258132046481e-81	0.600682514220356	0.49	0.096	1.22573699472194e-76
BIK	6.14762807073941e-81	0.432095541800721	0.778	0.372	1.65518738176588e-76
SLPI	1.06690199344579e-80	0.504592230652022	0.985	0.985	2.87252692715344e-76
TXNDC17	1.55859234104496e-80	0.501242204140349	0.916	0.749	4.19635401902945e-76
FAM83A	1.66859871570503e-80	0.312846099998245	0.569	0.141	4.49253518216423e-76
CLTA	1.89575886630634e-80	0.493685100606768	0.934	0.82	5.10414117164318e-76
RPL41	2.4194835438184e-80	0.66580929170238	0.98	0.992	6.51421749337666e-76
ST6GALNAC1	8.73695762689854e-80	0.542335862255247	0.924	0.718	2.35233847146616e-75
DYNLT1	9.60886787824881e-80	0.576699985873652	0.907	0.793	2.58709158753971e-75
VDAC1	1.14928359401111e-79	0.534039066737932	0.944	0.815	3.09433114851552e-75
PRDX4	1.34376879130545e-78	0.512964786476213	0.822	0.511	3.6179630937108e-74
ASRGL1	1.56565577509199e-78	0.570233343630197	0.929	0.72	4.21537160885768e-74
NDUFV2	1.69167397221793e-78	0.565197984851228	0.927	0.859	4.55466300279955e-74
NR2F6	3.15464108667562e-78	0.472743220802784	0.897	0.663	8.49355566176543e-74
EIF2S2	4.91625724811748e-78	0.486354921033195	0.926	0.769	1.32365310148315e-73
NDUFB4	7.13745773428415e-78	0.536316069614526	0.927	0.832	1.92168912037867e-73
CST3	7.60176474738387e-78	0.571561543150243	0.951	0.961	2.04669914058563e-73
FXYD3	1.73734398653925e-77	0.50531831926411	0.976	0.965	4.67762494935828e-73
U47924.27	2.21200428916113e-77	0.358836121894613	0.683	0.282	5.95560034813743e-73
TALDO1	2.87690151465204e-77	0.56543079590015	0.935	0.835	7.74576963804915e-73
TMEM220	2.99759676870383e-77	0.293433717630099	0.571	0.163	8.07072954005818e-73
HM13	6.54053707090611e-77	0.537893525046077	0.889	0.668	1.76097420097076e-72
CHMP5	8.83764847336118e-77	0.46212084904644	0.882	0.663	2.37944847496777e-72
FIS1	1.40208537324832e-76	0.409322397600084	0.879	0.611	3.77497465893377e-72
RNASET2	3.04315532576266e-76	0.450656122193621	0.843	0.525	8.19339139908337e-72
NPDC1	1.36348643584272e-75	0.340809263600189	0.632	0.215	3.67105087986295e-71
KDELR1	2.13404719831352e-75	0.45277028459238	0.939	0.821	5.74570867673931e-71
ATP5J2	4.56754068972749e-75	0.522190823676561	0.92	0.818	1.22976465530223e-70
RABAC1	2.52977883697715e-74	0.557494496691733	0.896	0.707	6.81117654067727e-70
MYH9	2.72124386429257e-74	-0.723597096308442	0.779	0.837	7.3266769802213e-70
REEP3	4.22289111390153e-74	0.471551732265978	0.908	0.687	1.13697120350685e-69
RP11-345J4.5	4.75993295907367e-74	0.275097832799871	0.611	0.206	1.28156434990099e-69
LSMD1	4.99448370761104e-74	0.523722432888544	0.878	0.683	1.3447147934372e-69
EPSTI1	5.82129682250148e-74	0.401374016841544	0.699	0.289	1.5673259564903e-69
PPIB	1.04599839079408e-73	0.577104387294463	0.953	0.875	2.81624606737398e-69
CD63	1.29026768243972e-73	0.44989596861985	0.978	0.97	3.4739167082007e-69
LYZ	1.31579842267799e-73	0.332110191223467	0.694	0.323	3.54265567321822e-69
NDUFA7.1	1.66667696192228e-73	0.311660159932427	0.694	0.293	4.48736105227955e-69
OSTC	1.99441783369582e-73	0.576180469663714	0.87	0.642	5.36977057544262e-69
TM4SF1	3.78768987691775e-73	0.866649918823743	0.825	0.507	1.01979762246133e-68
GALE	6.95932250213798e-73	0.464886974676527	0.829	0.501	1.87372799047563e-68
IVNS1ABP	7.44981124305881e-73	-0.729625830608317	0.668	0.748	2.00578717908115e-68
UBE2L6	7.9034862256764e-73	0.419883972809931	0.759	0.373	2.12793463140111e-68
SPARCL1	1.10115897661291e-72	-0.979271778897611	0.263	0.517	2.9647604286326e-68
CSTB	1.2883878779612e-72	0.638276895073407	0.97	0.956	3.46885552262274e-68
HLA-A	1.39546059277154e-72	0.525963529918249	0.987	0.969	3.75713809997808e-68
GTF3C6	1.47191333859955e-72	0.409219837753386	0.87	0.645	3.96297947284542e-68
CHCHD2	1.69438566273143e-72	0.565647879259707	0.936	0.889	4.56196395833811e-68
SHFM1	2.43731650535766e-72	0.449456820042849	0.946	0.858	6.56223095902497e-68
GLRX	5.41334765929093e-72	0.689615272212848	0.843	0.576	1.45748972378749e-67
SLC6A14	8.47982580124796e-72	0.579924835662079	0.903	0.592	2.283108298728e-67
COX5A	1.06973858926476e-71	0.540030915218508	0.933	0.785	2.88016417773643e-67
HSPA1A	1.2320764141961e-71	-1.59207079765193	0.849	0.866	3.31724253758157e-67
ALDH3B1	1.56005021783601e-71	0.440412419154506	0.774	0.387	4.20027920650167e-67
RAB25	1.5813029456308e-71	0.503014833095008	0.906	0.721	4.25750005081636e-67
ERAP2	1.75762814681306e-71	-0.636821605831526	0.364	0.58	4.73223802247948e-67
IDO1	2.47548377821839e-71	0.722600710385183	0.793	0.389	6.6649925244752e-67
MT-ND4L	3.82195787564896e-71	-0.56881479263885	0.719	0.934	1.02902393843973e-66
PSMA2.1	5.54998471859544e-71	0.448294915772908	0.845	0.563	1.49427788563464e-66
SMIM4	6.1491697944132e-71	0.371790920283094	0.808	0.449	1.65560247544781e-66
AKR1A1	9.4784436045773e-71	0.524284506144651	0.948	0.854	2.55197615609639e-66
HLA-DMA	1.07449562381701e-70	0.531266195077584	0.803	0.463	2.89297201756492e-66
MTRNR2L8	2.21128283412121e-70	-2.62788934727312	0.683	0.799	5.95365790258794e-66
CHP1	3.40534896964232e-70	0.425749129260657	0.883	0.62	9.16856156586499e-66
PLAT	9.66509965456233e-70	-0.601971162882875	0.072	0.261	2.60223143099436e-65
UQCRFS1	1.6676769971162e-69	0.385314416667398	0.87	0.601	4.49005354703565e-65
CFB	2.23496661163522e-69	0.540148538063659	0.816	0.397	6.01742410516666e-65
FAM114A1	2.35813730801087e-69	0.429549942444707	0.864	0.575	6.34904888808846e-65
TBCA	4.66585387714688e-69	0.449224571102761	0.909	0.731	1.25623449788303e-64
MCTS1	8.59598267988804e-69	0.356618648529627	0.756	0.389	2.31438237673306e-64
PSMB5	1.00559524716556e-68	0.424322416385723	0.854	0.58	2.70746464346856e-64
CLTB	1.06079238607819e-68	0.452332628242584	0.899	0.687	2.85607742027693e-64
SMIM5	1.50368077899395e-68	0.332535089225174	0.507	0.131	4.04851012936331e-64
SCAND1	2.23252667942197e-68	0.424951216130293	0.898	0.72	6.01085483167572e-64
SAA1	2.51593416692432e-68	1.71154963560526	0.627	0.286	6.77390115102705e-64
PHLDA2	3.56578353812236e-68	0.508148463234075	0.721	0.352	9.60051559804064e-64
HPGD	3.70332445320294e-68	0.639649257180834	0.795	0.446	9.9708307578036e-64
SSR4	4.57971713921331e-68	0.528225413610352	0.935	0.873	1.23304304256179e-63
CHPT1	4.79145703725143e-68	0.470545588722416	0.867	0.57	1.29005189270958e-63
BCAS1	9.02122976567819e-68	0.47384614993491	0.841	0.503	2.42887590211119e-63
NPPC	9.42140691139222e-68	-0.252870909307466	0.011	0.107	2.53661959682324e-63
RAMP1	2.6590109414525e-67	0.606314596198597	0.385	0.049	7.15912105876672e-63
SERPINB10	3.14290121135642e-67	0.37276956400599	0.398	0.059	8.46194722145604e-63
CMAS	5.00879976441933e-67	0.396763986257705	0.847	0.568	1.34856924857226e-62
SDCBP2	1.02080554776022e-66	0.471585738811743	0.832	0.552	2.74841685678962e-62
FGGY	1.09785175704982e-66	0.347865628451574	0.693	0.31	2.95585607068092e-62
CLDN10	1.56779974321823e-66	0.578671592922607	0.535	0.18	4.22114402864076e-62
SLC44A4	2.71161619223493e-66	0.471837233278509	0.926	0.649	7.30075543597332e-62
MRPS18C	3.71322124381296e-66	0.404517457360501	0.847	0.587	9.99747687684201e-62
CRB3	5.03439840482864e-66	0.276145299414821	0.65	0.266	1.35546142651606e-61
GNAI1	6.88608232311855e-66	0.407781468858658	0.804	0.469	1.85400880467644e-61
GOLM1	9.01705008041108e-66	0.535066083690389	0.939	0.734	2.42775056364988e-61
TGM2	1.39653125268253e-65	0.451233805052807	0.784	0.377	3.76002074472244e-61
NSG1	1.58297648147376e-65	-0.269519121364512	0.051	0.213	4.26200587871995e-61
TMBIM4.1	1.96013647137574e-65	0.402033341173788	0.931	0.815	5.27747143553204e-61
NDUFA6	2.65708949680761e-65	0.460299534305687	0.879	0.648	7.15394776120481e-61
RPS10	3.09899487507789e-65	0.601320336601813	0.903	0.851	8.34373380165972e-61
KRT7	3.84522161674758e-65	0.65836206712858	0.974	0.917	1.03528746809312e-60
TMEM54	3.94165060182453e-65	0.386310241697035	0.86	0.582	1.06125000803524e-60
S100A11	6.58908659073188e-65	0.470305895336972	0.974	0.99	1.77404567368865e-60
ZNHIT1	8.16213082219372e-65	0.398565949807291	0.894	0.701	2.19757210256744e-60
TIMM10	8.24018651397466e-65	0.327811398465536	0.763	0.386	2.21858781702254e-60
SCEL	1.05452098643052e-64	0.347509843567574	0.585	0.193	2.83919230386554e-60
CLIC3	1.47645220201718e-64	0.447670450208021	0.514	0.152	3.97519990871105e-60
PTPRF	1.47707967398807e-64	-0.632456146409019	0.795	0.813	3.97688931424547e-60
FCGBP	2.16555872458928e-64	0.959570303817484	0.583	0.218	5.83055031008419e-60
PTS	2.33302811395091e-64	0.34531494056469	0.802	0.479	6.28144489400143e-60
CITED4	2.69450077100343e-64	0.335661100718796	0.72	0.344	7.25467387584962e-60
FKBP11	4.01029823540639e-64	0.445171269651126	0.675	0.327	1.07973269690082e-59
WFDC3	4.38137535409389e-64	0.256140872907125	0.431	0.087	1.17964150033624e-59
OST4	4.89879828387439e-64	0.529781232102853	0.915	0.824	1.31895244995034e-59
NKTR	4.98271740782895e-64	-0.655220453839026	0.848	0.851	1.34154683488387e-59
EPAS1	6.5385714912458e-64	-0.727574557388984	0.938	0.97	1.76044498830302e-59
RPL36AL	6.56293988056304e-64	0.480064282369842	0.937	0.907	1.76700593344279e-59
CLIC1	6.91709707021565e-64	0.512438551610793	0.955	0.921	1.86235921518486e-59
HIGD1A	1.13508925375707e-63	0.357164947102146	0.798	0.459	3.05611430681553e-59
SPCS1	1.48301647782421e-63	0.43635716017065	0.919	0.821	3.99287356489391e-59
COX7C	1.53920329978403e-63	0.450842166375602	0.959	0.934	4.14415096433851e-59
ATPIF1	1.8466628929934e-63	0.44458722733447	0.935	0.855	4.97195517309542e-59
CYP2F1	2.22994772600291e-63	0.603133081081531	0.898	0.587	6.00391125749024e-59
TCEB1	2.44123321572477e-63	0.42212361553824	0.866	0.628	6.57277631001737e-59
STX10	2.51371447929532e-63	0.317309976111325	0.775	0.424	6.76792486405473e-59
PSMA7	2.98597544261371e-63	0.477861565513009	0.925	0.81	8.03944028169314e-59
