ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0071456	cellular response to hypoxia	27/511	151/5662	0.000381314972292362	0.041858494173458	0.0391072573340455	Q9UMX0/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/P51617/P19634/Q9UNM6/P61289/P25789/O60238/P17980/P07237/P63211/O15519/O75116/Q9GZT9/Q99801/Q9H6Z9/Q9Y6K1/Q8IXJ6/Q9BX63/Q03181	27
GO:0000086	G2/M transition of mitotic cell cycle	30/511	175/5662	0.000391099115974013	0.041858494173458	0.0391072573340455	O60885/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q96JB5/Q13561/Q9UNM6/P61289/P62140/P25789/Q96SN8/O95684/Q9H2K8/P17980/P0DP24/Q13309/O60921/Q13642/O60934/P52926/Q9UL54/P54652/P48730/Q6PGQ7/Q07666	30
GO:0030193	regulation of blood coagulation	14/511	57/5662	0.00039958350331301	0.041858494173458	0.0391072573340455	P08758/P07093/P07225/P00749/P42680/Q03405/P04085/P04004/P13726/P04070/P00747/Q86YL7/P10646/Q9Y251	14
GO:0014812	muscle cell migration	15/511	64/5662	0.0004318653142697	0.041858494173458	0.0391072573340455	Q96N67/P00749/Q9UHI8/Q92633/Q7Z628/P04085/P04004/P46940/P27695/Q92570/P13501/Q13464/P01019/Q07954/Q03181	15
GO:1900046	regulation of hemostasis	14/511	58/5662	0.000484099527134392	0.0425278897924554	0.0397326555297363	P08758/P07093/P07225/P00749/P42680/Q03405/P04085/P04004/P13726/P04070/P00747/Q86YL7/P10646/Q9Y251	14
GO:0002831	regulation of response to biotic stimulus	41/511	269/5662	0.00049027640771544	0.0425278897924554	0.0397326555297363	P78527/Q9NNX6/Q9NSU2/Q29983/Q14114/P17693/P15151/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q86UT6/Q9UNM6/P61289/P25789/O75688/Q9UHD2/O95786/Q86WV6/Q969V5/P17980/P41159/P08631/Q9UKG1/P16885/P21580/Q8N5C8/P18031/P32121/P13501/Q99706/O14944/Q13114/Q8IXJ6/Q9Y616/Q08211/P15941	41
GO:0070665	positive regulation of leukocyte proliferation	20/511	100/5662	0.000495011275061128	0.0425278897924554	0.0397326555297363	Q9NNX6/P41273/P28907/Q96EY1/P28068/P60033/P32970/P01344/P09603/Q15109/P41159/P10747/P42081/P43403/P21583/P33681/P08575/P13501/Q96FA3/P18065	20
GO:0032479	regulation of type I interferon production	19/511	93/5662	0.000514987036618695	0.0425278897924554	0.0397326555297363	P78527/Q9NSU2/Q86VP1/Q86UT6/P51617/P05161/Q9BYX4/O75688/Q9UHD2/O95786/Q86WV6/Q13568/P16885/P21580/Q00653/O60603/Q13114/P78324/Q08211	19
GO:0032012	regulation of ARF protein signal transduction	6/511	13/5662	0.000518515703046419	0.0425278897924554	0.0397326555297363	Q9Y6D6/Q9Y6D5/Q99418/Q9UIA0/O43739/Q15438	6
GO:0045086	positive regulation of interleukin-2 biosynthetic process	6/511	13/5662	0.000518515703046419	0.0425278897924554	0.0397326555297363	P10747/P42081/P01583/P33681/Q92990/P08575	6
GO:0050818	regulation of coagulation	14/511	59/5662	0.000583370497679381	0.0431440191706891	0.0403082885194422	P08758/P07093/P07225/P00749/P42680/Q03405/P04085/P04004/P13726/P04070/P00747/Q86YL7/P10646/Q9Y251	14
GO:0043297	apical junction assembly	11/511	40/5662	0.000594291219313525	0.0431440191706891	0.0403082885194422	Q12959/Q86UE4/P17302/O95832/Q01196/Q9Y624/P08134/O75116/Q9NPB6/O43707/Q13464	11
GO:0042098	T cell proliferation	25/511	140/5662	0.000635376457610642	0.0439700364180865	0.0410800140603197	Q9NNX6/Q12959/P41273/P17693/O75509/Q96EY1/P28068/P60033/P32970/P17302/P01344/Q15109/P41159/P10747/P42081/P43403/F7VJQ1/P33681/Q92990/Q14623/P20333/P08575/P13501/Q96FA3/P18065	25
